22.1.3.10. Születéskor várható átlagos élettartam – férfiak [év];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;75,2;75,6;75,8;75,9;76,4;76,6;77,1;77,4;77,7;77,6;77,8;78,3;78,4;78,6;79,1;78,8;79,3;79,4;79,4;79,7;78,9;78,8
Belgium;74,6;74,9;75,1;75,3;76,0;76,2;76,6;77,1;76,9;77,4;77,5;78,0;77,8;78,1;78,8;78,7;79,0;79,2;79,4;79,8;78,6;79,5
Bulgária;68,4;68,6;68,8;68,9;69,0;69,0;69,2;69,5;69,8;70,2;70,3;70,7;70,9;71,3;71,1;71,2;71,3;71,4;71,5;71,6;70,0;68,1
Ciprus;75,4;76,6;76,4;76,8;76,5;76,5;78,1;77,6;78,2;78,5;79,2;79,3;78,9;80,1;80,3;79,9;80,5;80,2;80,9;80,3;80,4;79,8
Csehország;71,6;72,0;72,1;72,0;72,5;72,9;73,5;73,8;74,1;74,3;74,5;74,8;75,1;75,2;75,8;75,7;76,1;76,1;76,2;76,4;75,3;74,3
Dánia;74,5;74,7;74,8;75,0;75,4;76,0;76,1;76,2;76,5;76,9;77,2;77,8;78,1;78,3;78,7;78,8;79,0;79,2;79,1;79,5;79,7;79,6
Észtország;65,6;65,2;65,6;66,4;66,7;67,6;67,6;67,5;68,9;70,0;70,9;71,4;71,4;72,8;72,4;73,2;73,3;73,8;74,0;74,5;74,4;72,4
Finnország;74,2;74,6;74,9;75,1;75,4;75,6;75,9;76,0;76,5;76,6;76,9;77,3;77,7;78,0;78,4;78,7;78,6;78,9;79,1;79,3;79,2;79,3
Franciaország;75,3;75,5;75,7;75,7;76,7;76,7;77,3;77,6;77,8;78,0;78,2;78,7;78,7;79,0;79,5;79,2;79,5;79,6;79,7;79,9;79,2;79,3
Görögország;75,9;76,3;76,4;76,6;76,6;76,8;77,1;76,9;77,5;77,5;78,0;78,0;78,0;78,7;78,8;78,5;78,9;78,8;79,3;79,2;78,8;77,5
Hollandia;75,6;75,8;76,0;76,3;76,9;77,2;77,7;78,1;78,4;78,7;78,9;79,4;79,3;79,5;80,0;79,9;80,0;80,2;80,3;80,6;79,7;79,9
Horvátország;..;70,9;71,0;71,0;71,8;71,7;72,4;72,2;72,3;72,8;73,4;73,8;73,9;74,5;74,7;74,4;75,0;74,9;74,9;75,5;74,7;73,7
Írország;74,0;74,5;75,0;75,7;76,1;76,7;76,9;77,3;77,9;77,8;78,5;78,6;78,7;78,9;79,3;79,6;79,8;80,4;80,4;80,8;80,8;..
Lengyelország;69,6;70,0;70,3;70,5;70,6;70,8;70,9;71,0;71,3;71,5;72,2;72,5;72,6;73,0;73,7;73,5;73,9;73,9;73,7;74,1;72,5;71,7
Lettország;..;..;64,4;65,3;65,6;64,9;65,0;65,3;66,5;67,5;67,9;68,6;68,9;69,3;69,1;69,7;69,8;69,8;70,1;70,9;70,6;68,6
Litvánia;66,7;65,9;66,1;66,4;66,2;65,2;65,0;64,5;65,9;67,1;67,6;68,1;68,4;68,5;69,2;69,2;69,5;70,7;70,9;71,6;70,1;69,9
Luxemburg;74,6;75,1;74,6;74,8;76,0;76,7;76,8;76,7;78,1;78,1;77,9;78,5;79,1;79,8;79,4;80,0;80,1;79,9;80,1;80,2;79,9;80,7
Magyarország;67,5;68,2;68,3;68,4;68,7;68,7;69,2;69,4;70,0;70,3;70,7;71,2;71,6;72,2;72,3;72,3;72,6;72,5;72,7;73,1;72,3;71,1
Málta;76,3;76,6;76,3;76,4;77,4;77,3;77,0;77,5;77,1;77,9;79,3;78,6;78,6;79,6;79,9;79,8;80,6;80,2;80,4;81,2;80,3;81,3
Németország;75,1;75,6;75,7;75,8;76,5;76,7;77,2;77,4;77,6;77,8;78,0;77,9;78,1;78,1;78,7;78,3;78,6;78,7;78,6;79,0;78,7;..
Olaszország;76,9;77,2;77,4;77,3;78,0;78,1;78,6;78,8;78,9;79,1;79,5;79,7;79,8;80,3;80,7;80,3;81,0;80,8;81,2;81,4;80,0;80,6
Portugália;73,3;73,6;73,9;74,2;75,0;74,9;75,5;75,9;76,2;76,5;76,8;77,3;77,3;77,6;78,0;78,1;78,1;78,4;78,3;78,7;78,0;78,0
Románia;67,7;67,5;67,3;67,4;67,8;68,4;69,0;69,5;69,7;69,8;70,0;70,8;70,9;71,6;71,3;71,4;71,6;71,6;71,7;71,9;70,4;69,4
Spanyolország;75,8;76,3;76,4;76,4;77,0;77,0;77,8;77,9;78,3;78,8;79,2;79,5;79,5;80,2;80,4;80,1;80,5;80,6;80,7;81,1;79,6;80,3
Svédország;77,4;77,6;77,7;78,0;78,4;78,5;78,8;79,0;79,2;79,4;79,6;79,9;79,9;80,2;80,4;80,4;80,6;80,8;80,9;81,5;80,6;81,4
Szlovákia;69,2;69,5;69,8;69,8;70,3;70,2;70,4;70,6;70,9;71,4;71,8;72,3;72,5;72,9;73,3;73,1;73,8;73,8;73,9;74,3;73,5;71,3
Szlovénia;72,2;72,3;72,6;72,5;73,5;73,9;74,5;74,6;75,5;75,9;76,4;76,8;77,1;77,2;78,2;77,8;78,2;78,2;78,5;78,7;77,8;77,9
EU27_2020;..;..;74,3;74,4;75,0;75,1;75,6;75,8;76,1;76,4;76,7;77,0;77,1;77,5;77,9;77,7;78,0;78,1;78,2;78,5;77,5;77,2
Egyesült Királyság;75,5;75,8;76,0;76,2;76,8;77,0;77,3;77,6;77,7;78,3;78,6;79,0;79,1;79,2;79,5;79,2;79,4;79,5;79,5;..;..;..
Izland;77,8;78,3;78,6;79,5;78,9;79,6;79,5;79,6;80,0;79,8;79,8;80,7;81,6;80,5;81,3;81,2;80,4;81,1;81,3;81,7;81,6;81,8
Észak-Macedónia;70,8;70,9;70,6;70,9;71,5;71,6;71,7;71,8;72,4;72,3;72,9;73,1;73,0;73,4;73,5;73,5;73,4;74,1;74,6;74,7;72,2;..
Montenegró;..;..;..;..;..;71,3;71,4;71,9;72,6;72,9;73,6;73,3;74,2;74,1;74,1;74,4;74,1;73,9;74,5;74,0;73,2;..
Norvégia;76,0;76,2;76,4;77,1;77,6;77,8;78,2;78,3;78,4;78,7;79,0;79,1;79,5;79,8;80,1;80,5;80,7;81,0;81,1;81,3;81,6;81,7
Oroszország;59,0;58,9;58,7;58,5;58,9;58,9;60,4;61,5;61,9;62,9;63,1;64,0;64,6;65,1;65,3;65,9;66,5;67,5;67,8;68,2;66,5;..
Svájc;77,0;77,5;77,9;78,0;78,6;78,7;79,2;79,5;79,8;79,9;80,3;80,5;80,6;80,7;81,1;80,8;81,7;81,6;81,9;82,1;81,0;81,9
Szerbia;68,9;69,6;69,7;69,9;70,0;70,2;70,8;70,9;71,3;71,4;71,8;72,0;72,3;72,6;72,8;72,8;73,2;73,1;73,5;73,4;71,6;..
Törökország;66,4;67,0;67,6;68,1;68,6;69,0;69,4;69,8;70,3;70,7;71,2;71,7;72,2;72,6;73,1;73,5;73,8;74,1;74,4;74,7;75,0;..
India;61,7;62,1;62,5;62,9;63,3;63,7;64,1;64,5;64,9;65,3;65,7;66,1;66,5;66,8;67,2;67,5;67,7;68,0;68,2;68,5;68,7;..
Izrael;77,1;77,7;77,5;77,6;78,0;78,2;78,7;78,7;79,0;79,6;79,7;79,9;79,9;80,3;80,3;80,1;80,7;80,6;80,9;81,0;80,7;..
Japán;77,7;78,1;78,1;78,4;78,6;78,5;79,0;79,2;79,3;79,6;79,6;79,4;79,9;80,2;80,5;80,8;81,0;81,1;81,3;81,4;81,6;..
Kína;69,6;70,0;70,4;70,7;71,0;71,3;71,6;71,8;72,0;72,2;72,5;72,7;73,0;73,2;73,5;73,8;74,1;74,3;74,5;74,8;75,0;..
Koreai Köztársaság;72,3;72,9;73,4;73,8;74,3;74,9;75,4;75,9;76,2;76,7;76,8;77,3;77,6;78,1;78,6;79,0;79,3;79,7;79,7;80,3;80,5;..
Dél-afrikai Köztársaság;53,1;52,3;51,7;51,3;51,1;51,1;51,4;52,0;52,9;53,8;54,9;56,0;57,0;58,0;58,7;59,3;59,8;60,2;60,5;60,7;61,0;..
Brazília;66,4;66,8;67,1;67,4;67,8;68,2;68,5;68,9;69,3;69,6;70,0;70,3;70,6;70,8;71,1;71,3;71,6;71,8;72,0;72,2;72,5;..
Egyesült Államok;74,1;74,3;74,4;74,5;75,0;75,0;75,2;75,5;75,6;76,0;76,2;76,3;76,4;76,4;76,5;76,3;76,1;76,1;76,2;76,3;74,5;..
Kanada;76,6;76,9;77,1;77,4;77,6;77,9;78,1;78,3;78,5;78,8;79,1;79,4;79,6;79,7;79,8;79,9;79,9;79,9;80,0;80,0;79,7;..
Mexikó;71,7;72,0;72,3;72,4;72,6;72,6;72,5;72,4;72,3;72,2;72,1;72,1;72,0;72,0;71,9;72,0;72,0;72,0;72,1;72,2;72,3;..
Ausztrália;76,6;77,0;77,4;77,8;78,1;78,5;78,7;79,0;79,2;79,3;79,5;79,7;79,9;80,1;80,3;80,4;80,4;80,5;80,7;80,9;81,2;..
Új-Zéland;76,1;76,4;76,7;77,0;77,5;77,9;78,0;78,2;78,4;78,8;78,8;79,1;79,4;79,7;79,6;79,7;79,9;80,0;80,2;80,0;80,3;..
