22.1.3.11. Születéskor várható átlagos élettartam – nõk [év];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;81,2;81,7;81,7;81,5;82,1;82,2;82,8;83,1;83,3;83,2;83,5;83,8;83,6;83,8;84,0;83,7;84,1;84,0;84,1;84,2;83,6;83,8
Belgium;81,0;81,2;81,2;81,1;81,9;81,9;82,3;82,6;82,6;82,8;83,0;83,3;83,1;83,2;83,9;83,4;84,0;83,9;83,9;84,3;83,0;84,4
Bulgária;75,0;75,4;75,5;75,9;76,2;76,2;76,3;76,6;77,0;77,4;77,4;77,8;77,9;78,6;78,0;78,2;78,5;78,4;78,6;78,8;77,5;75,1
Ciprus;80,1;81,4;81,0;81,2;81,8;80,8;82,0;82,1;82,9;83,5;83,9;83,1;83,4;85,0;84,3;83,7;84,9;84,2;84,8;84,4;84,4;83,9
Csehország;78,5;78,5;78,7;78,6;79,1;79,2;79,9;80,2;80,5;80,5;80,9;81,1;81,2;81,3;82,0;81,6;82,1;82,0;82,0;82,2;81,3;80,6
Dánia;79,2;79,3;79,4;79,8;80,2;80,5;80,7;80,6;81,0;81,1;81,4;81,9;82,1;82,4;82,8;82,7;82,8;83,1;82,9;83,5;83,6;83,3
Észtország;76,4;76,5;77,2;77,2;78,0;78,2;78,6;78,9;79,5;80,3;80,8;81,3;81,5;81,7;81,9;82,2;82,2;82,6;82,7;83,0;83,0;81,3
Finnország;81,2;81,7;81,6;81,9;82,5;82,5;83,1;83,1;83,3;83,5;83,5;83,8;83,7;84,1;84,1;84,4;84,4;84,5;84,5;84,8;84,8;84,7
Franciaország;83,0;83,0;83,0;82,7;83,8;83,8;84,5;84,8;84,8;85,0;85,3;85,7;85,4;85,6;86,1;85,6;85,8;85,7;85,8;85,9;85,3;85,5
Görögország;81,3;81,9;82,0;82,0;82,2;82,5;82,7;82,5;83,0;83,3;83,3;83,6;83,4;84,0;84,1;83,7;84,0;83,9;84,4;84,2;83,9;83,0
