22.1.3.12. Migrációs egyenleg [ezer lakosra];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;2,2;5,2;4,3;5,2;6,6;6,1;3,0;2,8;2,9;2,1;2,6;3,7;5,2;6,6;8,6;13,2;7,5;5,1;4,0;4,6;4,4;5,8
Belgium;1,3;3,3;3,7;3,2;3,2;4,7;4,9;5,5;5,9;5,9;7,9;4,6;3,9;2,4;3,2;5,5;2,4;3,2;4,3;5,0;3,9;6,1
Bulgária;0,0;-29,5;-2,2;-2,0;-2,1;-2,2;-2,3;-2,3;-2,4;-2,5;-2,4;-0,7;-0,3;-0,2;-0,3;-0,6;-1,3;-0,8;-0,5;-0,3;4,4;1,8
Ciprus;5,7;6,6;7,7;8,7;9,7;11,0;13,7;19,9;21,1;22,0;19,2;21,3;-0,7;-14,0;-17,4;-2,4;2,9;7,2;9,3;10,0;5,0;6,3
Csehország;-2,7;-1,4;0,7;2,0;1,3;3,0;2,9;7,7;6,5;2,4;1,4;1,6;1,0;-0,1;2,1;1,5;1,9;2,7;3,6;4,1;2,5;4,8
Dánia;1,9;2,2;1,8;1,3;0,9;1,2;1,9;3,7;4,6;2,8;3,0;2,4;3,0;3,8;4,8;7,4;5,7;4,2;3,2;1,6;1,9;4,6
Észtország;-2,3;-2,4;-2,2;-2,8;-2,7;-3,8;-4,0;-2,1;-1,5;-1,6;-2,8;-2,9;-2,8;-2,0;-0,5;1,8;0,8;4,0;5,3;4,1;2,8;5,3
Finnország;0,5;1,2;1,0;1,1;1,3;1,7;2,0;2,6;2,9;2,7;2,6;3,1;3,3;3,3;2,8;2,3;3,1;2,4;2,1;2,8;3,2;4,1
Franciaország;2,7;3,0;3,1;3,2;3,2;3,0;1,8;1,2;0,9;0,5;0,6;0,3;1,1;1,5;0,5;-0,4;-0,3;0,8;1,7;0,8;1,5;1,5
Görögország;5,8;4,8;2,6;2,4;2,6;2,9;2,2;2,1;2,1;1,3;-0,1;-2,9;-6,0;-5,4;-4,3;-4,2;1,0;0,8;1,6;3,3;0,6;-1,6
Hollandia;3,6;3,5;1,7;0,4;-0,6;-1,4;-1,6;-0,1;1,9;2,3;2,0;1,8;0,8;1,2;2,1;3,2;4,6;4,7;5,0;6,2;3,9;6,1
Horvátország;-11,7;4,3;2,4;3,1;3,4;2,5;2,3;2,1;1,4;0,2;-1,0;-0,9;-0,9;-1,1;-2,4;-4,3;-5,4;-7,7;-3,3;-0,6;-0,2;-33,1
Írország;8,4;10,2;8,6;8,1;12,2;15,2;22,2;16,9;3,7;-4,2;-5,6;-5,9;-4,8;-2,5;0,4;2,8;5,2;3,0;9,0;6,5;3,7;5,6
Lengyelország;-0,5;-0,4;-0,5;-0,4;-0,2;-0,3;-0,9;-0,5;-0,4;0,0;0,1;-0,3;-0,1;-0,7;-0,3;-0,3;0,3;0,1;0,6;0,5;0,1;0,1
Lettország;-6,9;-8,2;-4,0;-5,1;-6,8;-4,9;-4,0;-3,6;-10,3;-16,1;-17,0;-9,7;-5,8;-7,1;-4,3;-5,4;-6,2;-4,0;-2,5;-1,8;-1,7;-0,2
Litvánia;-5,8;-6,7;-3,4;-6,3;-9,5;-15,4;-7,5;-6,7;-5,1;-10,1;-25,2;-12,6;-7,1;-5,7;-4,2;-7,7;-10,5;-9,7;-1,2;3,9;7,2;12,4
Luxemburg;7,9;7,5;5,9;12,0;9,6;13,1;11,3;12,5;15,8;13,2;15,1;21,2;18,9;19,0;19,9;19,6;16,2;15,8;16,3;16,6;10,7;13,2
