22.2.1.1. A népmozgalom fõbb adatai havonta;;;;;;;;;;;;;;;
Év;Hónap;A házasságkötések száma;A házasságkötések ezer lakosra;Az élveszületések száma;Az élveszületések ezer lakosra;A halálozások száma;A halálozások ezer lakosra;A természetes szaporodás, fogyás (–) száma;A természetes szaporodás, fogyás (–) ezer lakosra;A csecsemõ-halálozások száma;A csecsemõ-halálozások ezer élveszülöttre;A terhesség-megszakítások száma;A terhesség-megszakítások száz élveszülöttre;A magzati halálozások száma;"A magzati halálozások 
száz élveszülöttre"
2018.;január;1 508;1,8;7 789;9,4;11 616;14,0;-3 827 ;-4,6;18;2,3;2 674;34,3;1 500;19,3
;február;1 874;2,5;6 845;9,1;12 013;16,0;-5 168 ;-6,9;24;3,5;2 496;36,5;1 325;19,4
;március;2 751;3,3;7 140;8,6;13 380;16,1;-6 240 ;-7,5;33;4,6;2 334;32,7;1 431;20,0
;április;3 326;4,1;6 717;8,4;10 542;13,1;-3 825 ;-4,8;25;3,7;2 376;35,4;1 305;19,4
;május;6 140;7,4;7 077;8,5;9 981;12,0;-2 904 ;-3,5;27;3,8;2 403;34,0;1 404;19,8
;június;6 663;8,3;7 535;9,4;9 518;11,9;-1 983 ;-2,5;18;2,4;2 340;31,1;1 328;17,6
;július;6 103;7,4;8 286;10,0;10 185;12,3;-1 899 ;-2,3;33;4,0;2 241;27,0;1 358;16,4
;augusztus;8 310;10,0;7 984;9,6;10 279;12,4;-2 295 ;-2,8;21;2,6;2 119;26,5;1 378;17,3
;szeptember;6 668;8,3;7 950;9,9;10 036;12,5;-2 086 ;-2,6;31;3,9;1 977;24,9;1 205;15,2
;október;3 408;4,1;7 983;9,6;10 918;13,2;-2 935 ;-3,5;27;3,4;2 016;25,3;1 307;16,4
;november;1 975;2,5;7 309;9,1;10 429;13,0;-3 120 ;-3,9;24;3,3;1 978;27,1;1 260;17,2
;december;2 102;2,5;7 192;8,7;12 148;14,6;-4 956 ;-6,0;23;3,2;1 987;27,6;1 419;19,7
2019.;január;1 451;1,7;7 376;8,9;13 911;16,8;-6 535 ;-7,9;28;3,8;2 526;34,2;1 506;20,4
;február;1 883;2,5;6 544;8,7;12 342;16,5;-5 798 ;-7,7;24;3,7;2 403;36,7;1 385;21,2
;március;2 766;3,3;6 944;8,4;11 545;13,9;-4 601 ;-5,5;39;5,6;2 153;31,0;1 387;20,0
;április;3 601;4,5;6 897;8,6;10 277;12,8;-3 380 ;-4,2;28;4,1;2 186;31,7;1 403;20,3
;május;6 662;8,0;7 102;8,6;9 959;12,0;-2 857 ;-3,4;14;2,0;2 460;34,6;1 506;21,2
;június;7 725;9,6;7 096;8,8;10 001;12,5;-2 905 ;-3,6;33;4,7;2 054;28,9;1 355;19,1
;július;8 091;9,8;8 378;10,1;10 050;12,1;-1 672 ;-2,0;31;3,7;2 326;27,8;1 503;17,9
;augusztus;11 290;13,6;7 983;9,6;9 902;11,9;-1 919 ;-2,3;23;2,9;1 862;23,3;1 295;16,2
;szeptember;8 692;10,8;7 972;9,9;9 755;12,1;-1 783 ;-2,2;28;3,5;1 876;23,5;1 192;15,0
;október;5 631;6,8;7 805;9,4;10 564;12,7;-2 759 ;-3,3;27;3,5;1 999;25,6;1 340;17,2
;november;4 256;5,3;7 315;9,1;10 087;12,6;-2 772 ;-3,5;30;4,1;1 852;25,3;1 275;17,4
;december;3 220;3,9;7 781;9,4;11 210;13,5;-3 429 ;-4,1;30;3,9;2 086;26,8;1 350;17,3
2020.;január;2 874;3,5;8 105;9,8;11 781;14,2;-3 676 ;-4,4;24;3,0;2 300;28,4;1 477;18,2
;február;4 507;5,8;7 060;9,1;11 138;14,4;-4 078 ;-5,3;27;3,8;2 263;32,1;1 326;18,8
;március;4 879;5,9;7 092;8,6;11 731;14,2;-4 639 ;-5,6;34;4,8;2 306;32,5;1 428;20,1
;április;3 916;4,9;7 067;8,8;10 501;13,1;-3 434 ;-4,3;31;4,4;2 082;29,5;1 310;18,5
;május;4 696;5,7;7 282;8,8;9 896;12,0;-2 614 ;-3,2;31;4,3;1 940;26,6;1 208;16,6
;június;5 902;7,4;7 743;9,7;9 723;12,2;-1 980 ;-2,5;29;3,7;2 071;26,7;1 288;16,6
;július;7 489;9,1;8 662;10,5;9 802;11,9;-1 140 ;-1,4;21;2,4;2 035;23,5;1 334;15,4
;augusztus;10 468;12,7;8 142;9,9;9 949;12,0;-1 807 ;-2,2;19;2,3;1 709;21,0;1 241;15,2
;szeptember;8 883;11,1;8 514;10,7;10 233;12,8;-1 719 ;-2,2;19;2,2;1 933;22,7;1 216;14,3
;október;6 530;7,9;8 041;9,7;12 504;15,1;-4 463 ;-5,4;31;3,9;1 644;20,4;1 133;14,1
;november;3 639;4,6;7 425;9,3;16 590;20,8;-9 165 ;-11,5;26;3,5;1 683;22,7;1 046;14,1
;december;3 312;4,0;7 205;8,7;17 154;20,8;-9 949 ;-12,1;27;3,7;1 935;26,9;1 293;17,9
2021.;január;2 783;3,4;7 354;8,9;13 822;16,7;-6 468;-7,8;21;2,9;1 970;26,8;1 263;17,2
;február;4 078;5,5;7 166;9,6;11 870;15,9;-4 704;-6,3;25;3,5;1 872;26,1;1 220;17,0
;március;5 132;6,2;7 818;9,5;17 956;21,8;-10 138;-12,3;19;2,4;2 103;26,9;1 347;17,2
;április;5 043;6,3;7 014;8,8;15 580;19,5;-8 566;-10,7;30;4,3;1 967;28,0;1 333;19,0
;május;6 982;8,5;7 130;8,6;11 185;13,6;-4 055;-4,9;21;2,9;1 788;25,1;1 227;17,2
;június;7 744;9,7;7 722;9,7;10 571;13,3;-2 849;-3,6;27;3,5;1 939;25,1;1 145;14,8
;július;9 600;11,6;8 280;10,0;10 388;12,6;-2 108;-2,6;31;3,7;1 881;22,7;1 160;14,0
;augusztus;9 248;11,2;8 331;10,1;9 862;12,0;-1 531;-1,9;26;3,1;1 738;20,9;1 103;13,2
