22.2.1.3. Magyarországra érkezett menedékkérõk, menedékesek és védelemben részesülõk  negyedévente;;;;;;;
Év;Negyedév;Menedékkérõ;Menekült státuszt kapott;Oltalmazott státuszt kapott;Befogadott státuszt kapott;"Menedékes státuszt
kérelmezõ";Menedékes státuszt kapott
2018.;I.;294;23;210;12;–;–
;II.;159;30;47;5;–;–
;III.;107;11;16;–;–;–
;IV.;111;4;8;1;–;–
2019.;I.;144;7;5;2;–;–
;II.;122;3;9;2;–;–
;III.;151;5;3;2;–;–
;IV.;83;7;14;1;–;–
2020.;I.;73;48;20;1;–;–
;II.;22;29;16;3;–;–
;III.;8;4;5;–;–;–
;IV.;14;2;2;–;–;–
2021.;I.;8;6;4;2;–;–
;II.;12;1;7;–;–;–
;III.;9;9;3;–;–;–
;IV.;11;5;3;–;–;–
2022.;I.;8;4;5;–;10 456;1445
;II.;14;4;3;–;15 703;19 822
;III.;15;–;8;–;4 312;5 977
;IV.;;;;;;
