22.2.2.1. Élveszületések megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019 I. negyedév;2019 I. félév;2019 I–III. negyedév;2019 I–IV. negyedév;2020 I. negyedév;2020 I. félév;2020 I–III. negyedév;2020 I–IV. negyedév;2021 I. negyedév;2021 I. félév;2021 I–III. negyedév;2021 I–IV. negyedév;2022 I. negyedév;2022 I. félév;2022 I–III. negyedév;2022 I–IV. negyedév
Élveszületések száma, fõ;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;3 485;7 115;11 060;14 789;3 712;7 378;11 249;14 623;3 445;7 194;11 332;15 095;2 703;6 100;9 596;
Pest ;megye, régió;2 858;5 866;9 278;12 548;3 141;6 361;10 043;13 275;3 211;6 362;9 927;13 221;2 731;6 021;9 555;
Közép-Magyarország;nagyrégió;6 343;12 981;20 338;27 337;6 853;13 739;21 292;27 898;6 656;13 556;21 259;28 316;5 434;12 121;19 151;
Fejér;megye;879;1 748;2 741;3 698;926;1 873;2 982;3 996;993;1 959;3 082;4 135;863;1 891;2 943;
Komárom-Esztergom;megye;661;1 327;2 086;2 748;636;1 279;2 032;2 755;663;1 336;2 096;2 784;658;1 331;2 056;
Veszprém;megye;666;1 382;2 150;2 852;696;1 320;2 142;2 864;714;1 437;2 190;2 960;650;1 370;2 117;
Közép-Dunántúl;régió;2 206;4 457;6 977;9 298;2 258;4 472;7 156;9 615;2 370;4 732;7 368;9 879;2 171;4 592;7 116;
Gyõr-Moson-Sopron;megye;947;1 959;3 088;4 158;1 098;2 222;3 394;4 493;1 098;2 228;3 496;4 640;917;1 999;3 197;
Vas;megye;485;965;1 502;2 040;497;1 006;1 615;2 172;506;1 017;1 580;2 126;475;1 001;1 594;
Zala;megye;437;855;1 411;1 879;469;912;1 451;1 899;531;983;1 539;2 060;436;883;1 376;
Nyugat-Dunántúl;régió;1 869;3 779;6 001;8 077;2 064;4 140;6 460;8 564;2 135;4 228;6 615;8 826;1 828;3 883;6 167;
Baranya;megye;694;1 387;2 159;2 912;778;1 503;2 326;3 065;736;1 426;2 212;3 026;678;1 385;2 204;
Somogy;megye;564;1 125;1 810;2 484;603;1 177;1 923;2 605;644;1 223;1 913;2 568;559;1 189;1 907;
Tolna ;megye;409;870;1 378;1 807;462;936;1 507;1 979;456;937;1 431;1 950;369;821;1 315;
Dél-Dunántúl;régió;1 667;3 382;5 347;7 203;1 843;3 616;5 756;7 649;1 836;3 586;5 556;7 544;1 606;3 395;5 426;
Dunántúl;nagyrégió;5 742;11 618;18 325;24 578;6 165;12 228;19 372;25 828;6 341;12 546;19 539;26 249;5 605;11 870;18 709;
Borsod-Abaúj-Zemplén;megye;1 631;3 234;5 169;6 997;1 784;3 470;5 353;7 158;1 749;3 373;5 176;6 916;1 689;3 477;5 357;
Heves;megye;610;1 205;1 929;2 635;671;1 353;2 113;2 801;638;1 299;2 087;2 774;658;1 302;2 033;
Nógrád ;megye;406;782;1 277;1 699;433;872;1 361;1 836;462;868;1 332;1 800;386;795;1 352;
Észak-Magyarország;régió;2 647;5 221;8 375;11 331;2 888;5 695;8 827;11 795;2 849;5 540;8 595;11 490;2 733;5 574;8 742;
Hajdú-Bihar;megye;1 282;2 503;3 951;5 346;1 317;2 665;4 225;5 633;1 370;2 641;4 233;5 752;1 236;2 616;4 119;
Jász-Nagykun-Szolnok;megye;823;1 619;2 616;3 487;844;1 698;2 697;3 564;819;1 605;2 538;3 397;811;1 694;2 636;
Szabolcs-Szatmár-Bereg;megye;1 410;2 770;4 346;5 850;1 436;2 930;4 693;6 243;1 483;2 876;4 557;6 124;1 512;3 069;4 787;
Észak-Alföld;régió;3 515;6 892;10 913;14 683;3 597;7 293;11 615;15 440;3 672;7 122;11 328;15 273;3 559;7 379;11 542;
Bács-Kiskun ;megye;1 039;2 152;3 425;4 591;1 153;2 318;3 686;4 909;1 134;2 187;3 504;4 740;1 016;2 216;3 489;
