22.2.2.6. Természetes szaporodás, fogyás (–) megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019 I. negyedév;2019 I. félév;2019 I–III. negyedév;2019 I–IV. negyedév;2020 I. negyedév;2020 I. félév;2020 I–III. negyedév;2020 I–IV. negyedév;2021 I. negyedév;2021 I. félév;2021 I–III. negyedév;2021 I–IV. negyedév;2022 I. negyedév;2022 I. félév;2022 I–III. negyedév;2022 I–IV. negyedév
Természetes szaporodás, fogyás (–), fõ;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;-2 621;-3 808;-4 690;-6 269;-2 079;-3 519;-4 535;-8 121;-3 690;-5 725;-6 500;-9 262;-3 403;-5 215;-7 002;
Pest ;megye, régió;-1 423;-1 890;-1 796;-2 150;-902;-1 129;-844;-2 736;-1 929;-2 968;-2 914;-4 504;-1 372;-1 626;-1 652;
Közép-Magyarország;nagyrégió;-4 044;-5 698;-6 486;-8 419;-2 981;-4 648;-5 379;-10 857;-5 619;-8 693;-9 414;-13 766;-4 775;-6 841;-8 654;
Fejér;megye;-749;-1 165;-1 496;-1 920;-617;-969;-1 175;-1 950;-869;-1 632;-1 800;-2 638;-816;-1 193;-1 461;
Komárom-Esztergom;megye;-542;-858;-1 032;-1 345;-501;-788;-999;-1 768;-905;-1 404;-1 619;-2 192;-578;-892;-1 135;
Veszprém;megye;-689;-1 030;-1 299;-1 712;-604;-1 063;-1 289;-2 291;-774;-1 433;-1 753;-2 566;-709;-1 099;-1 506;
Közép-Dunántúl;régió;-1 980;-3 053;-3 827;-4 977;-1 722;-2 820;-3 463;-6 009;-2 548;-4 469;-5 172;-7 396;-2 103;-3 184;-4 102;
Gyõr-Moson-Sopron;megye;-571;-747;-869;-1 132;-316;-521;-613;-1 596;-771;-1 261;-1 361;-1 962;-703;-944;-1 109;
Vas;megye;-523;-826;-1 029;-1 347;-393;-644;-820;-1 594;-569;-1 069;-1 313;-1 953;-529;-824;-1 036;
Zala;megye;-693;-1 183;-1 460;-1 969;-524;-1 010;-1 343;-2 424;-633;-1 238;-1 557;-2 393;-705;-1 172;-1 622;
Nyugat-Dunántúl;régió;-1 787;-2 756;-3 358;-4 448;-1 233;-2 175;-2 776;-5 614;-1 973;-3 568;-4 231;-6 308;-1 937;-2 940;-3 767;
Baranya;megye;-836;-1 331;-1 696;-2 159;-549;-996;-1 394;-2 336;-885;-1 730;-2 137;-3 128;-867;-1 408;-1 785;
Somogy;megye;-824;-1 313;-1 632;-2 023;-512;-958;-1 268;-2 113;-1 043;-1 769;-2 136;-2 943;-819;-1 284;-1 642;
Tolna ;megye;-513;-806;-1 045;-1 402;-375;-699;-852;-1 479;-710;-1 119;-1 396;-1 954;-580;-922;-1 198;
Dél-Dunántúl;régió;-2 173;-3 450;-4 373;-5 584;-1 436;-2 653;-3 514;-5 928;-2 638;-4 618;-5 669;-8 025;-2 266;-3 614;-4 625;
Dunántúl;nagyrégió;-5 940;-9 259;-11 558;-15 009;-4 391;-7 648;-9 753;-17 551;-7 159;-12 655;-15 072;-21 729;-6 306;-9 738;-12 494;
Borsod-Abaúj-Zemplén;megye;-1 089;-1 696;-1 914;-2 440;-683;-1 074;-1 405;-3 148;-1 308;-2 418;-2 804;-4 300;-1 102;-1 544;-1 932;
