22.2.2.10. Házasságkötések megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019 I. negyedév;2019 I. félév;2019 I–III. negyedév;2019 I–IV. negyedév;2020 I. negyedév;2020 I. félév;2020 I–III. negyedév;2020 I–IV. negyedév;2021 I. negyedév;2021 I. félév;2021 I–III. negyedév;2021 I–IV. negyedév;2022 I. negyedév;2022 I. félév;2022 I–III. negyedév;2022 I–IV. negyedév
Házasságkötések száma, fõ;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;1 125;4 425;9 122;11 159;1 943;4 308;8 649;10 910;1 679;5 155;9 967;12 365;1 575;4 704;8 560;
Pest ;megye, régió;774;3 071;6 685;8 387;1 684;3 544;6 958;8 690;1 616;4 120;7 649;9 458;1 336;3 915;7 039;
Közép-Magyarország;nagyrégió;1 899;7 496;15 807;19 546;3 627;7 852;15 607;19 600;3 295;9 275;17 616;21 823;2 911;8 619;15 599;
Fejér;megye;250;1 051;2 361;2 945;593;1 261;2 533;3 098;594;1 539;2 815;3 403;422;1 291;2 341;
Komárom-Esztergom;megye;195;809;1 772;2 222;451;927;1 861;2 298;429;1 167;2 062;2 522;381;1 026;1 843;
Veszprém;megye;176;790;1 770;2 189;420;950;1 932;2 385;413;1 175;2 110;2 562;376;1 042;1 868;
Közép-Dunántúl;régió;621;2 650;5 903;7 356;1 464;3 138;6 326;7 781;1 436;3 881;6 987;8 487;1 179;3 359;6 052;
Gyõr-Moson-Sopron;megye;278;1 153;2 481;3 080;595;1 246;2 634;3 270;572;1 563;3 014;3 710;441;1 385;2 565;
Vas;megye;123;553;1 298;1 586;285;649;1 363;1 668;261;777;1 497;1 828;261;776;1 482;
Zala;megye;123;560;1 250;1 547;249;556;1 200;1 482;279;760;1 380;1 689;263;738;1 282;
Nyugat-Dunántúl;régió;524;2 266;5 029;6 213;1 129;2 451;5 197;6 420;1 112;3 100;5 891;7 227;965;2 899;5 329;
Baranya;megye;213;870;1 856;2 391;454;969;1 940;2 446;406;1 098;2 078;2 560;384;1 108;1 955;
Somogy;megye;173;663;1 406;1 746;349;721;1 456;1 878;324;826;1 492;1 886;313;861;1 551;
Tolna ;megye;159;577;1 264;1 578;274;582;1 155;1 469;288;697;1 258;1 553;221;662;1 181;
Dél-Dunántúl;régió;545;2 110;4 526;5 715;1 077;2 272;4 551;5 793;1 018;2 621;4 828;5 999;918;2 631;4 687;
Dunántúl;nagyrégió;1 690;7 026;15 458;19 284;3 670;7 861;16 074;19 994;3 566;9 602;17 706;21 713;3 062;8 889;16 068;
Borsod-Abaúj-Zemplén;megye;432;1 639;3 556;4 427;755;1 747;3 558;4 388;804;2 044;3 738;4 609;712;2 065;3 638;
Heves;megye;192;704;1 544;1 908;331;769;1 551;1 888;333;897;1 715;2 137;311;892;1 642;
Nógrád ;megye;131;448;948;1 207;235;516;1 006;1 223;250;613;1 095;1 320;224;582;1 042;
Észak-Magyarország;régió;755;2 791;6 048;7 542;1 321;3 032;6 115;7 499;1 387;3 554;6 548;8 066;1 247;3 539;6 322;
Hajdú-Bihar;megye;351;1 351;2 835;3 604;724;1 606;3 116;3 930;725;1 810;3 231;4 002;643;1 789;3 076;
Jász-Nagykun-Szolnok;megye;270;917;2 001;2 520;510;1 099;2 084;2 638;515;1 278;2 248;2 765;391;1 186;2 158;
Szabolcs-Szatmár-Bereg;megye;367;1 416;3 086;3 965;740;1 654;3 258;4 067;822;1 955;3 408;4 189;724;1 850;3 244;
