22.2.2.5. Halálozások megye és régió szerint, negyedéves gördülõ idõszak;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019.II–2020.I. negyedév;2019.III–2020.II. negyedév;2019.IV–2020.III. negyedév;2020 I–IV. negyedév;2020.II–2021.I. negyedév;2020.III–2021.II. negyedév;2020.IV–2021.III. negyedév;2021 I–IV. negyedév;2021.II–2022.I. negyedév;2021.III–2022.II. negyedév;2021.IV–2022.III. negyedév;2022 I–IV. negyedév
Halálozások száma, fõ;;;;;;;;;;;;;
Budapest;fõváros, régió;20 743;21 032;21 092;22 744;24 088;24 766;24 792;24 357;23 328;22 753;23 123;
Pest ;megye, régió;14 460;14 432;14 511;16 011;17 108;17 851;17 965;17 725;16 688;16 042;16 091;
Közép-Magyarország;nagyrégió;35 203;35 464;35 603;38 755;41 196;42 617;42 757;42 082;40 016;38 795;39 214;
Fejér;megye;5 533;5 547;5 538;5 946;6 265;6 695;6 671;6 773;6 590;6 266;6 295;
Komárom-Esztergom;megye;4 027;3 975;4 006;4 523;4 954;5 196;5 207;4 976;4 644;4 459;4 452;
Veszprém;megye;4 509;4 535;4 546;5 155;5 343;5 642;5 667;5 526;5 397;5 125;5 206;
Közép-Dunántúl;régió;14 069;14 057;14 090;15 624;16 562;17 533;17 545;17 275;16 631;15 850;15 953;
Gyõr-Moson-Sopron;megye;5 186;5 327;5 340;6 089;6 544;6 835;6 939;6 602;6 353;6 056;6 051;
Vas;megye;3 269;3 246;3 291;3 766;3 951;4 202;4 224;4 079;4 008;3 818;3 816;
Zala;megye;3 711;3 732;3 771;4 323;4 494;4 622;4 625;4 453;4 430;4 287;4 355;
Nyugat-Dunántúl;régió;12 166;12 305;12 402;14 178;14 989;15 659;15 788;15 134;14 791;14 161;14 222;
Baranya;megye;4 868;4 852;4 936;5 401;5 695;6 058;6 030;6 154;6 078;5 791;5 794;
Somogy;megye;4 234;4 204;4 256;4 718;5 290;5 575;5 576;5 511;5 202;4 992;5 011;
Tolna ;megye;3 124;3 168;3 145;3 458;3 787;3 879;3 926;3 904;3 687;3 591;3 590;
Dél-Dunántúl;régió;12 226;12 224;12 337;13 577;14 772;15 512;15 532;15 569;14 967;14 374;14 395;
Dunántúl;nagyrégió;38 461;38 586;38 829;43 379;46 323;48 704;48 865;47 978;46 389;44 385;44 570;
Borsod-Abaúj-Zemplén;megye;9 184;9 051;9 112;10 306;10 896;11 553;11 528;11 216;10 950;10 446;10 525;
Heves;megye;4 293;4 240;4 180;4 816;5 149;5 417;5 466;5 359;5 180;5 013;4 936;
Nógrád ;megye;2 913;2 815;2 777;3 232;3 636;3 939;3 941;3 847;3 604;3 390;3 382;
Észak-Magyarország;régió;16 390;16 106;16 069;18 354;19 681;20 909;20 935;20 422;19 734;18 849;18 843;
Hajdú-Bihar;megye;6 476;6 473;6 387;7 021;7 531;7 910;8 038;8 107;7 912;7 557;7 537;
Jász-Nagykun-Szolnok;megye;5 558;5 467;5 389;6 073;6 214;6 480;6 499;6 515;6 505;6 269;6 343;
Szabolcs-Szatmár-Bereg;megye;6 539;6 586;6 636;7 720;8 343;8 783;8 747;8 388;8 105;7 793;7 855;
Észak-Alföld;régió;18 573;18 526;18 412;20 814;22 088;23 173;23 284;23 010;22 522;21 619;21 735;
Bács-Kiskun ;megye;6 870;6 860;6 861;7 595;8 110;8 581;8 575;8 650;8 325;7 972;8 129;
Békés;megye;5 251;5 202;5 293;6 011;6 274;6 527;6 532;6 376;6 280;6 119;6 153;
Csongrád-Csanád;megye;5 274;5 188;5 162;5 716;5 948;6 312;6 417;6 552;6 453;6 086;6 150;
Dél-Alföld;régió;17 395;17 250;17 316;19 322;20 332;21 420;21 524;21 578;21 058;20 177;20 432;
Alföld és Észak;nagyrégió;52 358;51 882;51 797;58 490;62 101;65 502;65 743;65 010;63 314;60 645;61 010;
Ország összesen;ország;126 455;126 338;126 615;141 002;150 000;157 216;157 803;155 621;150 164;144 169;144 998;
Az egy évvel korábbi negyedéves gördülõ idõszak = 100,0%;;;;;;;;;;;;;
Budapest;fõváros, régió;96,2;97,4;98,5;108,0;116,1;117,8;117,5;107,1;96,8;91,9;93,3;
Pest ;megye, régió;97,6;96,3;97,8;108,9;118,3;123,7;123,8;110,7;97,5;89,9;89,6;
Közép-Magyarország;nagyrégió;96,7;96,9;98,2;108,4;117,0;120,2;120,1;108,6;97,1;91,0;91,7;
Fejér;megye;96,1;96,8;97,3;105,8;113,2;120,7;120,5;113,9;105,2;93,6;94,4;
Komárom-Esztergom;megye;97,2;95,0;95,4;110,5;123,0;130,7;130,0;110,0;93,7;85,8;85,5;
Veszprém;megye;97,1;98,2;99,8;112,9;118,5;124,4;124,7;107,2;101,0;90,8;91,9;
Közép-Dunántúl;régió;96,7;96,7;97,5;109,5;117,7;124,7;124,5;110,6;100,4;90,4;90,9;
Gyõr-Moson-Sopron;megye;94,7;98,8;99,6;115,1;126,2;128,3;129,9;108,4;97,1;88,6;87,2;
Vas;megye;94,0;94,3;96,5;111,2;120,9;129,5;128,4;108,3;101,4;90,9;90,3;
Zala;megye;94,0;94,6;97,6;112,3;121,1;123,8;122,6;103,0;98,6;92,8;94,2;
Nyugat-Dunántúl;régió;94,3;96,3;98,2;113,2;123,2;127,3;127,3;106,7;98,7;90,4;90,1;
Baranya;megye;95,2;93,8;95,3;106,5;117,0;124,9;122,2;113,9;106,7;95,6;96,1;
Somogy;megye;90,1;89,6;92,7;104,7;124,9;132,6;131,0;116,8;98,3;89,5;89,9;
Tolna ;megye;95,7;96,7;97,0;107,8;121,2;122,4;124,8;112,9;97,4;92,6;91,4;
Dél-Dunántúl;régió;93,5;93,0;94,8;106,2;120,8;126,9;125,9;114,7;101,3;92,7;92,7;
Dunántúl;nagyrégió;94,9;95,4;96,8;109,6;120,4;126,2;125,8;110,6;100,1;91,1;91,2;
Borsod-Abaúj-Zemplén;megye;95,9;93,7;95,3;109,2;118,6;127,6;126,5;108,8;100,5;90,4;91,3;
Heves;megye;95,7;93,7;91,7;109,2;119,9;127,8;130,8;111,3;100,6;92,5;90,3;
Nógrád ;megye;92,5;89,2;87,5;105,0;124,8;139,9;141,9;119,0;99,1;86,1;85,8;
Észak-Magyarország;régió;95,3;92,9;92,9;108,4;120,1;129,8;130,3;111,3;100,3;90,1;90,0;
Hajdú-Bihar;megye;95,2;96,2;94,5;104,5;116,3;122,2;125,8;115,5;105,1;95,5;93,8;
Jász-Nagykun-Szolnok;megye;99,6;97,3;94,1;106,4;111,8;118,5;120,6;107,3;104,7;96,7;97,6;
Szabolcs-Szatmár-Bereg;megye;93,1;95,2;96,1;115,7;127,6;133,4;131,8;108,7;97,1;88,7;89,8;
Észak-Alföld;régió;95,7;96,2;95,0;109,0;118,9;125,1;126,5;110,6;102,0;93,3;93,3;
Bács-Kiskun ;megye;98,2;98,9;98,7;108,9;118,0;125,1;125,0;113,9;102,7;92,9;94,8;
Békés;megye;96,9;94,4;98,5;110,7;119,5;125,5;123,4;106,1;100,1;93,7;94,2;
Csongrád-Csanád;megye;97,3;94,6;94,6;105,3;112,8;121,7;124,3;114,6;108,5;96,4;95,8;
Dél-Alföld;régió;97,5;96,2;97,4;108,4;116,9;124,2;124,3;111,7;103,6;94,2;94,9;
Alföld és Észak;nagyrégió;96,2;95,1;95,1;108,6;118,6;126,3;126,9;111,1;102,0;92,6;92,8;
Ország összesen;ország;95,9;95,7;96,5;108,8;118,6;124,4;124,6;110,4;100,1;91,7;91,9;
