22.2.2.7. Természetes szaporodás, fogyás (–) megye és régió szerint, negyedéves gördülõ idõszak;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019.II–2020.I. negyedév;2019.III–2020.II. negyedév;2019.IV–2020.III. negyedév;2020 I–IV. negyedév;2020.II–2021.I. negyedév;2020.III–2021.II. negyedév;2020.IV–2021.III. negyedév;2021 I–IV. negyedév;2021.II–2022.I. negyedév;2021.III–2022.II. negyedév;2021.IV–2022.III. negyedév;2022 I–IV. negyedév
Természetes szaporodás, fogyás (–), fõ;;;;;;;;;;;;;
Budapest;fõváros, régió;-5 727;-5 980;-6 114;-8 121;-9 732;-10 327;-10 086;-9 262;-8 975;-8 752;-9 764;
Pest ;megye, régió;-1 629;-1 389;-1 198;-2 736;-3 763;-4 575;-4 806;-4 504;-3 947;-3 162;-3 242;
Közép-Magyarország;nagyrégió;-7 356;-7 369;-7 312;-10 857;-13 495;-14 902;-14 892;-13 766;-12 922;-11 914;-13 006;
Fejér;megye;-1 788;-1 724;-1 599;-1 950;-2 202;-2 613;-2 575;-2 638;-2 585;-2 199;-2 299;
Komárom-Esztergom;megye;-1 304;-1 275;-1 312;-1 768;-2 172;-2 384;-2 388;-2 192;-1 865;-1 680;-1 708;
Veszprém;megye;-1 627;-1 745;-1 702;-2 291;-2 461;-2 661;-2 755;-2 566;-2 501;-2 232;-2 319;
Közép-Dunántúl;régió;-4 719;-4 744;-4 613;-6 009;-6 835;-7 658;-7 718;-7 396;-6 951;-6 111;-6 326;
Gyõr-Moson-Sopron;megye;-877;-906;-876;-1 596;-2 051;-2 336;-2 344;-1 962;-1 894;-1 645;-1 710;
Vas;megye;-1 217;-1 165;-1 138;-1 594;-1 770;-2 019;-2 087;-1 953;-1 913;-1 708;-1 676;
Zala;megye;-1 800;-1 796;-1 852;-2 424;-2 533;-2 652;-2 638;-2 393;-2 465;-2 327;-2 458;
Nyugat-Dunántúl;régió;-3 894;-3 867;-3 866;-5 614;-6 354;-7 007;-7 069;-6 308;-6 272;-5 680;-5 844;
Baranya;megye;-1 872;-1 824;-1 857;-2 336;-2 672;-3 070;-3 079;-3 128;-3 110;-2 806;-2 776;
Somogy;megye;-1 711;-1 668;-1 659;-2 113;-2 644;-2 924;-2 981;-2 943;-2 719;-2 458;-2 449;
Tolna ;megye;-1 264;-1 295;-1 209;-1 479;-1 814;-1 899;-2 023;-1 954;-1 824;-1 757;-1 756;
Dél-Dunántúl;régió;-4 847;-4 787;-4 725;-5 928;-7 130;-7 893;-8 083;-8 025;-7 653;-7 021;-6 981;
Dunántúl;nagyrégió;-13 460;-13 398;-13 204;-17 551;-20 319;-22 558;-22 870;-21 729;-20 876;-18 812;-19 151;
Borsod-Abaúj-Zemplén;megye;-2 034;-1 818;-1 931;-3 148;-3 773;-4 492;-4 547;-4 300;-4 094;-3 426;-3 428;
Heves;megye;-1 597;-1 457;-1 361;-2 015;-2 381;-2 670;-2 691;-2 585;-2 386;-2 236;-2 216;
Nógrád ;megye;-1 187;-1 026;-994;-1 396;-1 771;-2 107;-2 134;-2 047;-1 880;-1 663;-1 562;
Észak-Magyarország;régió;-4 818;-4 301;-4 286;-6 559;-7 925;-9 269;-9 372;-8 932;-8 360;-7 325;-7 206;
Hajdú-Bihar;megye;-1 095;-965;-767;-1 388;-1 845;-2 301;-2 397;-2 355;-2 294;-1 830;-1 899;
Jász-Nagykun-Szolnok;megye;-2 050;-1 901;-1 821;-2 509;-2 675;-3 009;-3 094;-3 118;-3 116;-2 783;-2 848;
Szabolcs-Szatmár-Bereg;megye;-663;-576;-439;-1 477;-2 053;-2 594;-2 640;-2 264;-1 952;-1 476;-1 501;
Észak-Alföld;régió;-3 808;-3 442;-3 027;-5 374;-6 573;-7 904;-8 131;-7 737;-7 362;-6 089;-6 248;
Bács-Kiskun ;megye;-2 165;-2 103;-2 009;-2 686;-3 220;-3 803;-3 848;-3 910;-3 703;-3 203;-3 404;
Békés;megye;-2 538;-2 419;-2 468;-3 252;-3 499;-3 778;-3 728;-3 523;-3 562;-3 386;-3 508;
Csongrád-Csanád;megye;-1 909;-1 832;-1 783;-2 348;-2 483;-2 774;-2 816;-2 917;-2 874;-2 517;-2 683;
Dél-Alföld;régió;-6 612;-6 354;-6 260;-8 286;-9 202;-10 355;-10 392;-10 350;-10 139;-9 106;-9 595;
Alföld és Észak;nagyrégió;-15 238;-14 097;-13 573;-20 219;-23 700;-27 528;-27 895;-27 019;-25 861;-22 520;-23 049;
