22.2.2.9. Csecsemõhalálozások megye és régió szerint, negyedéves gördülõ idõszak;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019.II–2020.I. negyedév;2019.III–2020.II. negyedév;2019.IV–2020.III. negyedév;2020 I–IV. negyedév;2020.II–2021.I. negyedév;2020.III–2021.II. negyedév;2020.IV–2021.III. negyedév;2021 I–IV. negyedév;2021.II–2022.I. negyedév;2021.III–2022.II. negyedév;2021.IV–2022.III. negyedév;2022 I–IV. negyedév
Csecsemõhalálozások száma, fõ;;;;;;;;;;;;;
Budapest;fõváros, régió;28;27;25;23;27;27;29;26;27;27;30;
Pest ;megye, régió;40;41;40;37;31;25;22;26;31;33;38;
Közép-Magyarország;nagyrégió;68;68;65;60;58;52;51;52;58;60;68;
Fejér;megye;11;13;15;16;16;20;19;17;15;11;9;
Komárom-Esztergom;megye;8;10;9;9;9;8;13;15;16;15;13;
Veszprém;megye;11;12;13;14;12;15;13;10;9;5;5;
Közép-Dunántúl;régió;30;35;37;39;37;43;45;42;40;31;27;
Gyõr-Moson-Sopron;megye;4;8;10;15;16;13;16;13;15;13;10;
Vas;megye;8;7;7;9;10;11;10;8;10;7;7;
Zala;megye;7;9;8;9;13;9;8;9;4;3;3;
Nyugat-Dunántúl;régió;19;24;25;33;39;33;34;30;29;23;20;
Baranya;megye;6;3;3;5;6;9;9;7;5;5;5;
Somogy;megye;12;18;18;19;16;10;11;8;12;12;9;
Tolna ;megye;7;7;4;4;3;4;6;6;6;9;8;
Dél-Dunántúl;régió;25;28;25;28;25;23;26;21;23;26;22;
Dunántúl;nagyrégió;74;87;87;100;101;99;105;93;92;80;69;
Borsod-Abaúj-Zemplén;megye;39;44;47;40;38;36;34;41;39;40;41;
Heves;megye;15;16;14;12;8;7;7;6;9;6;7;
Nógrád ;megye;7;8;10;7;4;4;7;8;10;10;5;
Észak-Magyarország;régió;61;68;71;59;50;47;48;55;58;56;53;
Hajdú-Bihar;megye;18;16;15;13;13;14;14;18;19;15;19;
Jász-Nagykun-Szolnok;megye;24;26;19;13;10;9;10;12;13;12;15;
Szabolcs-Szatmár-Bereg;megye;37;35;24;29;29;26;38;40;38;37;38;
Észak-Alföld;régió;79;77;58;55;52;49;62;70;70;64;72;
Bács-Kiskun ;megye;13;18;18;25;21;20;23;17;21;19;19;
Békés;megye;13;9;8;10;11;12;12;12;13;11;9;
Csongrád-Csanád;megye;16;14;13;9;5;6;6;8;8;8;12;
Dél-Alföld;régió;42;41;39;44;37;38;41;37;42;38;40;
Alföld és Észak;nagyrégió;182;186;168;158;139;134;151;162;170;158;165;
Ország összesen;ország;329;345;322;319;299;286;308;309;321;299;303;
Az egy évvel korábbi negyedéves gördülõ idõszak = 100,0%;;;;;;;;;;;;;
Budapest;fõváros, régió;62,2;58,7;64,1;63,9;96,4;100,0;116,0;113,0;100,0;100,0;103,4;
Pest ;megye, régió;117,6;107,9;102,6;94,9;77,5;61,0;55,0;70,3;100,0;132,0;172,7;
Közép-Magyarország;nagyrégió;86,1;81,0;83,3;80,0;85,3;76,5;78,5;86,7;100,0;115,4;133,3;
Fejér;megye;100,0;185,7;250,0;177,8;145,5;153,8;126,7;106,3;93,8;55,0;47,4;
Komárom-Esztergom;megye;160,0;166,7;128,6;112,5;112,5;80,0;144,4;166,7;177,8;187,5;100,0;
Veszprém;megye;183,3;171,4;185,7;155,6;109,1;125,0;100,0;71,4;75,0;33,3;38,5;
Közép-Dunántúl;régió;136,4;175,0;185,0;150,0;123,3;122,9;121,6;107,7;108,1;72,1;60,0;
Gyõr-Moson-Sopron;megye;28,6;61,5;90,9;187,5;400,0;162,5;160,0;86,7;93,8;100,0;62,5;
Vas;megye;88,9;58,3;58,3;100,0;125,0;157,1;142,9;88,9;100,0;63,6;70,0;
Zala;megye;77,8;100,0;80,0;128,6;185,7;100,0;100,0;100,0;30,8;33,3;37,5;
Nyugat-Dunántúl;régió;59,4;70,6;75,8;137,5;205,3;137,5;136,0;90,9;74,4;69,7;58,8;
Baranya;megye;75,0;33,3;30,0;55,6;100,0;300,0;300,0;140,0;83,3;55,6;55,6;
Somogy;megye;70,6;138,5;138,5;158,3;133,3;55,6;61,1;42,1;75,0;120,0;81,8;
Tolna ;megye;77,8;77,8;57,1;66,7;42,9;57,1;150,0;150,0;200,0;225,0;133,3;
Dél-Dunántúl;régió;73,5;90,3;83,3;103,7;100,0;82,1;104,0;75,0;92,0;113,0;84,6;
Dunántúl;nagyrégió;84,1;102,4;104,8;129,9;136,5;113,8;120,7;93,0;91,1;80,8;65,7;
Borsod-Abaúj-Zemplén;megye;105,4;151,7;167,9;114,3;97,4;81,8;72,3;102,5;102,6;111,1;120,6;
Heves;megye;93,8;106,7;87,5;75,0;53,3;43,8;50,0;50,0;112,5;85,7;100,0;
Nógrád ;megye;58,3;72,7;125,0;70,0;57,1;50,0;70,0;114,3;250,0;250,0;71,4;
Észak-Magyarország;régió;93,8;123,6;136,5;96,7;82,0;69,1;67,6;93,2;116,0;119,1;110,4;
Hajdú-Bihar;megye;138,5;88,9;75,0;61,9;72,2;87,5;93,3;138,5;146,2;107,1;135,7;
Jász-Nagykun-Szolnok;megye;218,2;288,9;135,7;59,1;41,7;34,6;52,6;92,3;130,0;133,3;150,0;
Szabolcs-Szatmár-Bereg;megye;132,1;109,4;68,6;82,9;78,4;74,3;158,3;137,9;131,0;142,3;100,0;
Észak-Alföld;régió;151,9;130,5;84,1;70,5;65,8;63,6;106,9;127,3;134,6;130,6;116,1;
Bács-Kiskun ;megye;81,3;128,6;128,6;208,3;161,5;111,1;127,8;68,0;100,0;95,0;82,6;
Békés;megye;118,2;60,0;50,0;58,8;84,6;133,3;150,0;120,0;118,2;91,7;75,0;
Csongrád-Csanád;megye;228,6;127,3;216,7;81,8;31,3;42,9;46,2;88,9;160,0;133,3;200,0;
Dél-Alföld;régió;123,5;102,5;108,3;110,0;88,1;92,7;105,1;84,1;113,5;100,0;97,6;
Alföld és Észak;nagyrégió;120,5;120,8;107,0;88,3;76,4;72,0;89,9;102,5;122,3;117,9;109,3;
Ország összesen;ország;102,8;106,2;100,0;95,2;90,9;82,9;95,7;96,9;107,4;104,5;98,4;
