22.2.2.11. Házasságkötések megye és régió szerint, negyedéves gördülõ idõszak;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019.II–2020.I. negyedév;2019.III–2020.II. negyedév;2019.IV–2020.III. negyedév;2020 I–IV. negyedév;2020.II–2021.I. negyedév;2020.III–2021.II. negyedév;2020.IV–2021.III. negyedév;2021 I–IV. negyedév;2021.II–2022.I. negyedév;2021.III–2022.II. negyedév;2021.IV–2022.III. negyedév;2022 I–IV. negyedév
Házasságkötések száma, fõ;;;;;;;;;;;;;
Budapest;fõváros, régió;11 977;11 042;10 686;10 910;10 646;11 757;12 228;12 365;12 261;11 914;10 958;
Pest ;megye, régió;9 297;8 860;8 660;8 690;8 622;9 266;9 381;9 458;9 178;9 253;8 848;
Közép-Magyarország;nagyrégió;21 274;19 902;19 346;19 600;19 268;21 023;21 609;21 823;21 439;21 167;19 806;
Fejér;megye;3 288;3 155;3 117;3 098;3 099;3 376;3 380;3 403;3 231;3 155;2 929;
Komárom-Esztergom;megye;2 478;2 340;2 311;2 298;2 276;2 538;2 499;2 522;2 474;2 381;2 303;
Veszprém;megye;2 433;2 349;2 351;2 385;2 378;2 610;2 563;2 562;2 525;2 429;2 320;
Közép-Dunántúl;régió;8 199;7 844;7 779;7 781;7 753;8 524;8 442;8 487;8 230;7 965;7 552;
Gyõr-Moson-Sopron;megye;3 397;3 173;3 233;3 270;3 247;3 587;3 650;3 710;3 579;3 532;3 261;
Vas;megye;1 748;1 682;1 651;1 668;1 644;1 796;1 802;1 828;1 828;1 827;1 813;
Zala;megye;1 673;1 543;1 497;1 482;1 512;1 686;1 662;1 689;1 673;1 667;1 591;
Nyugat-Dunántúl;régió;6 818;6 398;6 381;6 420;6 403;7 069;7 114;7 227;7 080;7 026;6 665;
Baranya;megye;2 632;2 490;2 475;2 446;2 398;2 575;2 584;2 560;2 538;2 570;2 437;
Somogy;megye;1 922;1 804;1 796;1 878;1 853;1 983;1 914;1 886;1 875;1 921;1 945;
Tolna ;megye;1 693;1 583;1 469;1 469;1 483;1 584;1 572;1 553;1 486;1 518;1 476;
Dél-Dunántúl;régió;6 247;5 877;5 740;5 793;5 734;6 142;6 070;5 999;5 899;6 009;5 858;
Dunántúl;nagyrégió;21 264;20 119;19 900;19 994;19 890;21 735;21 626;21 713;21 209;21 000;20 075;
Borsod-Abaúj-Zemplén;megye;4 750;4 535;4 429;4 388;4 437;4 685;4 568;4 609;4 517;4 630;4 509;
Heves;megye;2 047;1 973;1 915;1 888;1 890;2 016;2 052;2 137;2 115;2 132;2 064;
Nógrád ;megye;1 311;1 275;1 265;1 223;1 238;1 320;1 312;1 320;1 294;1 289;1 267;
Észak-Magyarország;régió;8 108;7 783;7 609;7 499;7 565;8 021;7 932;8 066;7 926;8 051;7 840;
Hajdú-Bihar;megye;3 977;3 859;3 885;3 930;3 931;4 134;4 045;4 002;3 920;3 981;3 847;
Jász-Nagykun-Szolnok;megye;2 760;2 702;2 603;2 638;2 643;2 817;2 802;2 765;2 641;2 673;2 675;
Szabolcs-Szatmár-Bereg;megye;4 338;4 203;4 137;4 067;4 149;4 368;4 217;4 189;4 091;4 084;4 025;
Észak-Alföld;régió;11 075;10 764;10 625;10 635;10 723;11 319;11 064;10 956;10 652;10 738;10 547;
Bács-Kiskun ;megye;3 725;3 632;3 606;3 648;3 619;3 872;3 853;3 760;3 650;3 647;3 480;
Békés;megye;2 456;2 417;2 366;2 436;2 466;2 603;2 481;2 347;2 249;2 260;2 270;
Csongrád-Csanád;megye;2 865;2 811;2 829;2 852;2 874;3 050;2 975;2 912;2 842;2 821;2 721;
Dél-Alföld;régió;9 046;8 860;8 801;8 936;8 959;9 525;9 309;9 019;8 741;8 728;8 471;
Alföld és Észak;nagyrégió;28 229;27 407;27 035;27 070;27 247;28 865;28 305;28 041;27 319;27 517;26 858;
Ország összesen;ország;71 428;67 954;66 721;67 095;66 828;72 083;71 999;72 030;70 347;69 969;66 840;
Az egy évvel korábbi negyedéves gördülõ idõszak = 100,0%;;;;;;;;;;;;;
Budapest;fõváros, régió;131,5;116,9;102,9;97,8;88,9;106,5;114,4;113,3;115,2;101,3;89,6;
Pest ;megye, régió;148,5;134,1;114,1;103,6;92,7;104,6;108,3;108,8;106,4;99,9;94,3;
Közép-Magyarország;nagyrégió;138,4;124,0;107,6;100,3;90,6;105,6;111,7;111,3;111,3;100,7;91,7;
Fejér;megye;151,8;139,0;116,7;105,2;94,3;107,0;108,4;109,8;104,3;93,5;86,7;
Komárom-Esztergom;megye;159,7;137,8;116,1;103,4;91,8;108,5;108,1;109,7;108,7;93,8;92,2;
Veszprém;megye;138,4;129,9;117,7;109,0;97,7;111,1;109,0;107,4;106,2;93,1;90,5;
Közép-Dunántúl;régió;149,7;135,8;116,8;105,8;94,6;108,7;108,5;109,1;106,2;93,4;89,5;
