23.1.1.2. A költségvetési intézmények oktatási kiadásai [folyó áron, millió forint];;;;;;;
Év;Óvoda;Alap- és középfokú oktatás;Felsõfokú oktatás;Egyéb oktatás;Oktatással összefüggõ egyéb kiadások;Összesen;A költségvetési intézmények oktatási kiadásai a GDP százalékában
2001;106 214;409 998;161 871;23 215;69 581;770 879;5,0
2002;129 834;503 826;183 934;28 226;86 709;932 529;5,4
2003;158 526;617 089;216 422;33 810;45 609;1 071 456;5,7
2004;162 648;632 095;214 129;36 255;43 963;1 089 090;5,2
2005;175 570;677 821;226 772;40 402;49 548;1 170 113;5,3
2006;184 013;701 478;234 968;42 676;53 000;1 216 135;5,1
2007;179 041;705 919;253 174;36 634;53 633;1 228 401;4,9
2008;186 949;718 894;266 745;37 998;64 521;1 275 107;4,8
2009;186 979;685 554;261 763;36 141;66 787;1 237 224;4,8
2010;195 249;694 709;259 156;39 571;74 065;1 262 749;4,6
2011;182 743;649 804;270 646;35 456;72 914;1 211 562;4,3
2012;185 711;620 591;247 517;34 014;65 922;1 153 755;4,1
2013;206 182;586 474;243 645;37 218;68 809;1 142 329;3,9
2014;240 670;676 849;257 908;37 361;158 191;1 370 978;4,2
2015;265 198;770 885;264 484;34 133;145 750;1 480 450;4,3
2016;261 290;839 326;300 297;22 626;129 229;1 552 767;4,4
2017;284 647;837 998;324 778;49 832;166 330;1 663 585;4,3
2018;301 533;894 645;339 655;56 751;231 541;1 824 125;4,2
2019;314 694;909 269;380 276;49 723;187 212;1 841 174;3,9
2020;298 866;895 933;393 309;47 560;175 646;1 811 314;3,8
2021;309 367;938 980;376 732;49 765;257 174;1 932 018;3,5
