23.1.1.3. A köznevelési és a szakképzõ intézményekben alkalmazott pedagógusok és oktatók feladatonként;;;;;;;;;;;;;;;;
Tanév;Óvoda;Általános iskola;Szakiskola, készség-fejlesztõ iskola;Szakképzõ iskola;Gimnázium;Technikum, szakgimnázium;Fejlesztõ nevelés-oktatás;Alapfokú mûvészeti iskola;Kollégium;Pedagógiai szakszolgálat;Egyéb feladatok;Összesen;Ebbõl: nõ, %;Egy pedagógusra jutó gyermek az óvodában;Egy pedagógusra jutó tanuló az alapfokú oktatásban;Egy pedagógusra jutó tanuló a középfokú oktatásban
2001/2002;32 327;90 294;801;7 982;16 845;19 450;–;6 600;4 285;1 263;–;179 847;81,7;10,6;10,5;12,2
2002/2003;31 550;89 035;880;8 425;17 128;19 955;–;7 128;4 362;1 823;–;180 286;81,6;10,5;10,4;12,0
2003/2004;31 392;89 784;1 069;8 647;17 675;20 804;–;8 745;4 679;2 210;–;185 005;81,5;10,4;10,1;11,8
2004/2005;30 704;87 116;1 113;8 577;17 816;20 756;–;9 335;4 643;2 381;–;182 441;81,4;10,6;10,2;11,8
2005/2006;30 531;85 469;1 239;8 938;18 213;20 871;–;10 095;4 560;2 621;–;182 537;81,4;10,7;10,1;11,6
2006/2007;30 550;83 606;1 379;8 947;19 284;21 254;–;10 140;4 470;2 855;–;182 485;81,3;10,7;9,9;11,3
2007/2008;29 920;78 073;1 374;8 942;18 687;20 187;–;9 105;4 285;3 183;–;173 756;81,5;10,8;10,4;11,7
2008/2009;29 860;75 606;1 414;8 706;18 436;19 452;–;8 362;4 100;3 410;–;169 346;81,8;10,9;10,4;12,0
2009/2010;30 007;74 241;1 499;8 824;18 363;19 772;369;8 647;3 994;3 742;–;169 458;81,5;10,9;10,4;12,0
2010/2011;30 359;73 565;1 518;9 314;18 292;19 829;668;8 793;3 932;3 821;–;170 091;81,6;11,1;10,3;11,8
2011/2012;30 396;72 501;1 538;9 035;18 186;19 119;794;8 535;3 674;4 078;–;167 856;81,8;11,2;10,3;11,9
2012/2013;30 449;72 048;1 537;8 910;17 851;18 983;885;8 451;3 477;4 169;–;166 760;81,8;11,2;10,3;11,4
2013/2014;30 873;73 906;1 582;8 547;17 680;18 619;400;8 493;3 471;4 642;–;168 213;81,2;10,7;10,1;10,8
2014/2015;31 234;75 704;1 583;8 124;17 884;18 613;352;8 178;3 422;4 602;–;169 696;81,1;10,3;9,9;10,2
2015/2016;31 484;77 120;1 543;7 446;17 937;18 671;440;8 435;3 348;4 667;–;171 091;81,6;10,2;9,7;9,9
2016/2017;31 462;77 633;1 583;7 382;18 260;18 066;459;8 597;3 268;4 994;–;171 704;81,5;10,1;9,6;9,6
2017/2018;31 476;77 093;1 492;6 124;18 259;18 394;381;8 343;3 150;4 821;597;170 130;81,9;10,3;9,5;9,7
2018/2019;31 313;76 461;1 564;6 111;18 564;17 535;409;8 422;3 175;4 890;849;169 293;81,9;10,4;9,5;9,5
2019/2020;31 054;75 428;1 558;5 946;18 513;16 863;411;8 471;3 130;5 027;905;167 306;81,9;10,6;9,5;9,6
2020/2021;30 957;75 157;1 534;4 793;18 574;15 314;433;8 626;2 890;5 115;1 045;164 438;82,0;10,4;9,7;10,1
2021/2022;30 750;74 481;1 560;5 454;18 627;16 702;445;8 595;2 897;5 167;1 109;165 787;81,7;10,4;9,7;10,2
