23.1.1.4. Az óvodai nevelésben, iskolai oktatásban részesülõk a nappali és a nem nappali oktatásban, iskoláskorú népesség;;;;;;;;;;;;;;;;;;;;;;;;;
Tanév;Óvodás gyermek;Általános iskolai tanuló nappali oktatásban;Általános iskolai tanuló felnõttoktatásban;Általános iskolai tanuló összesen;Szakiskolai és készségfejlesztõ iskolai tanuló nappali oktatásban;Szakiskolai és készségfejlesztõ iskolai tanuló felnõttoktatásban;Szakiskolai és készségfejlesztõ iskolai tanuló összesen;Szakképzõ iskolai tanuló nappali oktatásban;Szakképzõ iskolai tanuló a nem nappali oktatásban;Szakképzõ iskolai tanuló összesen;Gimnáziumi tanuló nappali oktatásban;Gimnáziumi tanuló felnõttoktatásban;Gimnáziumi tanuló összesen;Technikumi, szakgimnáziumi tanuló nappali oktatásban;Technikumi, szakgimnáziumi tanuló a nem nappali oktatásban;Technikumi, szakgimnáziumi tanuló összesen;Felsõoktatásban hallgató nappali képzésben;Felsõoktatásban hallgató nem nappali képzésben;Felsõoktatásban hallgató összesen;Mindösszesen;Iskoláskorú népesség;A 3–5 éves népességbõl az óvodások aránya, %;A 16 éves népességbõl a nappali oktatásban részt vevõk aránya, %;A 20 éves népességbõl a nappali oktatásban részt vevõk aránya, %;A 3–22 éves népességbõl a nappali oktatásban részt vevõk aránya, %
1990/1991;391 950;1 166 076;11 536;1 177 612;3 152;–;3 152;222 204;–;222 204;123 427;18 820;142 247;168 445;49 342;217 787;76 601;31 775;108 376;2 263 328;2 944 403;84,2;73,1;10,9;72,2
1991/1992;394 937;1 112 374;11 724;1 124 098;4 112;–;4 112;221 720;–;221 720;134 139;19 912;154 051;178 973;46 292;225 265;83 191;31 499;114 690;2 238 873;2 922 558;84,1;79,1;12,9;71,9
1992/1993;395 256;1 071 727;10 944;1 082 671;4 398;–;4 398;211 833;–;211 833;143 805;21 509;165 314;186 225;48 794;235 019;92 328;33 546;125 874;2 220 365;2 900 738;84,5;82,6;13,5;71,5
1993/1994;398 082;1 032 025;8 982;1 041 007;5 395;–;5 395;198 859;–;198 859;150 163;22 588;172 751;192 388;53 747;246 135;105 240;39 320;144 560;2 206 789;2 881 685;84,1;83,2;14,6;71,1
1994/1995;397 311;1 001 709;6 558;1 008 267;5 546;–;5 546;185 751;–;185 751;158 957;23 491;182 448;196 965;57 713;254 678;118 847;51 093;169 940;2 203 941;2 865 964;83,6;84,8;14,8;70,8
1995/1996;400 527;987 561;5 205;992 766;5 367;–;5 367;172 599;–;172 599;164 203;22 468;186 671;208 415;53 423;261 838;132 997;62 589;195 586;2 215 354;2 841 057;84,5;85,8;16,5;71,6
1996/1997;395 518;976 423;4 099;980 522;5 363;–;5 363;158 407;–;158 407;166 989;22 974;189 963;220 528;51 679;272 207;145 843;69 272;215 115;2 217 095;2 809 959;87,4;88,1;22,9;69,6
1997/1998;384 669;973 401;3 165;976 566;5 260;–;5 260;143 911;–;143 911;169 107;25 734;194 841;227 243;52 558;279 801;156 894;97 799;254 693;2 239 741;2 749 624;85,4;77,2;25,9;73,6
1998/1999;376 135;973 326;3 016;976 342;4 420;–;4 420;128 203;–;128 203;171 769;30 033;201 802;234 430;54 829;289 259;168 183;111 214;279 397;2 255 558;2 679 536;85,7;82,2;21,6;75,0
1999/2000;366 871;969 755;3 146;972 901;4 642;–;4 642;117 038;–;117 038;175 492;33 078;208 570;241 369;55 384;296 753;177 654;128 048;305 702;2 272 477;2 611 623;91,1;86,9;33,3;74,1
