23.1.1.5. Végzettek száma és aránya a nappali és a felnõttoktatásban;;;;;;;;;;;;;;;;;;;;;;;
Év;A 8. évfolyamot sikeresen befejezte nappali oktatásban;A 8. évfolyamot sikeresen befejezte felnõttoktatásban;A 8. évfolyamot sikeresen befejezte összesen;Szakmai vizsgát tett tanuló nappali oktatásban;Szakmai vizsgát tett tanuló felnõttoktatásban;Szakmai vizsgát tett tanuló összesen;Érettségi vizsgát tett tanuló nappali oktatásban gimnáziumban;Érettségi vizsgát tett tanuló nappali oktatásban technikumban, szakgimnáziumban;Érettségi vizsgát tett tanuló nappali oktatásban szakképzõ iskolában;Érettségi vizsgát tett tanuló nappali oktatásban összesen;Érettségi vizsgát tett tanuló felnõttoktatásban gimnáziumban;Érettségi vizsgát tett tanuló felnõttoktatásban technikumban, szakgimnáziumban;Érettségi vizsgát tett tanuló felnõttoktatásban szakképzõ iskolában;Érettségi vizsgát tett tanuló felnõttoktatásban összesen;Érettségi vizsgát tett tanuló gimnáziumban összesen;Érettségi vizsgát tett tanuló technikumban, szakgimnáziumban összesen;Érettségi vizsgát tett tanuló szakképzõ iskolában összesen;Érettségi vizsgát tett tanuló összesen;Érettségizettek a nappali oktatásban a 18 évesek százalékában, %;Felsõfokú oklevelet szerzett hallgató az alap-, mester- és osztatlan nappali képzésben;Felsõfokú oklevelet szerzett hallgató az alap-, mester- és osztatlan nem nappali képzésben;Felsõfokú oklevelet szerzett hallgató az alap-, mester- és osztatlan képzésben összesen;Felsõfokú oklevelet szerzettek a nappali képzésben a 22 évesek százalékában, %
1990;169 059;3 649;172 708;61 099;–;61 099;24 136;28 903;–;53 039;3 105;11 730;–;14 835;27 241;40 633;–;67 874;36,1;15 963;8 140;24 103;11,0
1991;163 212;3 568;166 780;66 793;–;66 793;24 599;29 649;–;54 248;2 942;11 349;–;14 291;27 541;40 998;–;68 539;36,1;16 458;7 190;23 648;11,4
1992;155 444;3 540;158 984;74 599;–;74 599;26 685;32 961;–;59 646;2 580;9 234;–;11 814;29 265;42 195;–;71 460;33,2;16 201;6 183;22 384;11,2
1993;148 123;3 613;151 736;73 311;–;73 311;31 051;37 556;–;68 607;3 166;8 744;–;11 910;34 217;46 300;–;80 517;36,7;16 223;7 392;23 615;11,4
1994;140 727;2 942;143 669;71 981;–;71 981;31 029;37 575;–;68 604;3 384;8 213;–;11 597;34 413;45 788;–;80 201;38,8;18 041;6 501;24 542;12,4
1995;126 066;2 281;128 347;67 234;–;67 234;31 202;39 063;–;70 265;3 418;10 496;–;13 914;34 620;49 559;–;84 179;41,4;20 024;6 213;26 237;13,5
1996;124 115;1 905;126 020;65 022;–;65 022;32 133;41 280;–;73 413;3 773;10 972;–;14 745;35 906;52 252;–;88 158;45,2;22 147;9 163;31 310;12,6
1997;120 378;1 390;121 768;56 994;–;56 994;32 651;42 913;–;75 564;3 776;10 909;–;14 685;36 427;53 822;–;90 249;48,3;24 411;12 379;36 790;13,3
1998;117 190;1 187;118 377;54 115;–;54 115;33 730;43 930;–;77 660;4 019;10 419;–;14 438;37 749;54 349;–;92 098;52,2;25 338;13 271;38 609;14,5
1999;117 334;1 116;118 450;50 247;–;50 247;32 029;41 936;–;73 965;4 238;11 425;–;15 663;36 267;53 361;–;89 628;51,8;27 049;15 302;42 351;16,1
2000;121 100;1 200;122 300;..;..;..;32 200;40 000;–;72 200;4 900;12 100;–;17 000;37 100;52 100;–;89 200;53,7;29 843;17 135;46 978;18,4
2001;118 200;1 200;119 400;48 828;7 960;56 788;32 496;37 945;–;70 441;5 493;12 974;–;18 467;37 989;50 919;–;88 908;54,5;29 746;17 690;47 436;18,9
2002;118 038;802;118 840;56 235;7 742;63 977;33 550;36 062;–;69 612;6 689;14 108;–;20 797;40 239;50 170;–;90 409;54,4;30 785;19 720;50 505;20,5
2003;115 863;765;116 628;53 056;7 869;60 925;34 998;36 946;–;71 944;7 741;9 542;–;17 283;42 739;46 488;–;89 227;53,8;31 929;20 883;52 812;22,2
2004;117 093;922;118 015;54 912;10 457;65 369;37 052;39 617;–;76 669;11 207;5 078;–;16 285;48 259;44 695;–;92 954;59,1;31 633;21 881;53 514;23,4
2005;119 561;708;120 269;53 704;9 460;63 164;38 169;38 856;–;77 025;6 982;4 531;–;11 513;45 151;43 387;–;88 538;61,7;32 732;24 430;57 162;25,1
2006;118 223;540;118 763;51 040;9 073;60 113;38 219;38 676;–;76 895;8 628;5 263;–;13 891;46 847;43 939;–;90 786;62,0;29 871;23 243;53 114;23,1
2007;112 351;576;112 927;44 754;10 450;55 204;38 900;38 627;–;77 527;8 522;4 980;–;13 502;47 422;43 607;–;91 029;62,9;29 059;22 399;51 458;21,5
2008;109 680;378;110 058;44 831;10 443;55 274;33 851;34 602;–;68 453;8 502;4 228;–;12 730;42 353;38 830;–;81 183;54,2;28 957;20 233;49 190;22,0
2009;105 811;438;106 249;43 999;7 086;51 085;40 068;37 969;–;78 037;9 210;3 203;–;12 413;49 278;41 172;–;90 450;61,8;36 064;17 237;53 301;28,2
2010;106 626;479;107 105;45 437;7 160;52 597;39 830;38 127;–;77 957;6 938;2 349;–;9 287;46 768;40 476;–;87 244;64,4;38 456;14 927;53 383;30,3
2011;99 632;473;100 105;48 316;7 572;55 888;39 168;37 273;–;76 441;7 393;2 091;–;9 484;46 561;39 364;–;85 925;63,4;35 433;14 133;49 566;28,6
2012;94 852;327;95 179;56 404;8 435;64 839;38 190;35 655;–;73 845;7 645;1 958;–;9 603;45 835;37 613;–;83 448;62,0;36 262;14 439;50 701;28,4
2013;91 277;426;91 703;46 512;11 897;58 409;36 136;32 300;–;68 436;7 162;1 109;–;8 271;43 298;33 409;–;76 707;58,8;37 089;14 579;51 668;28,6
2014;89 176;527;89 703;43 498;11 855;55 353;36 648;32 528;–;69 176;6 546;1 580;–;8 126;43 194;34 108;–;77 302;62,6;39 226;14 454;53 680;31,3
