23.1.1.6. Sajátos nevelési igényû gyermekek, tanulók száma fogyatékosság-típus szerint;;;;;;;;;;;;;;;;;;;;;;;;;;
Tanév;Enyhén értelmi fogyatékos gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Középsúlyos értelmi fogyatékos gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Nagyothalló gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Siket gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Gyengénlátó gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Vak gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Mozgásszervi fogyatékos gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Beszédfogyatékos gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Enyhén értelmi fogyatékos és gyengénlátó gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Enyhén értelmi fogyatékos és vak gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Enyhén értelmi fogyatékos és nagyothalló gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Enyhén értelmi fogyatékos és siket gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Enyhén értelmi fogyatékos és mozgásszervi fogyatékos gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Enyhén értelmi fogyatékos és autizmus spektrum zavarral rendelkezõ gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Középsúlyos értelmi fogyatékos és vak gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Középsúlyos értelmi fogyatékos és siket gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Középsúlyos értelmi fogyatékos és mozgásszervi fogyatékos gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Középsúlyos értelmi fogyatékos és autizmus spektrum zavarral rendelkezõ gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Siket-vak gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Autizmus spektrum zavarral rendelkezõ gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Súlyos tanulási zavarral rendelkezõ gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Súlyos figyelem zavarral rendelkezõ gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Súlyos magatartás-szabályozási zavarral rendelkezõ gyermekek, tanulók száma az óvodákban, általános és középfokú iskolákban;Összesen;Korai fejlesztés és gondozásban részt vevõ gyermekek;Súlyos és halmozottan fogyatékos gyermekek
2001/2002;37 942;5 302;619;596;436;213;528;932;2 167;174;73;180;91;..;355;93;35;..;159;30;6 966;..;1 724;58 615;..;..
2002/2003;38 517;5 422;830;581;367;218;1 114;2 229;176;39;86;93;375;..;73;30;205;..;8;630;10 641;..;2 565;64 199;..;..
2003/2004;38 253;5 485;857;544;396;216;1 144;2 450;208;55;195;59;433;..;64;37;182;..;19;718;14 843;..;4 403;70 561;..;..
2004/2005;36 550;5 639;881;552;430;225;1 137;2 394;135;52;189;58;380;..;61;37;169;..;18;794;20 087;..;4 781;74 569;..;..
2005/2006;35 246;5 868;940;540;433;225;1 152;2 418;137;61;192;66;384;..;63;15;157;..;14;934;24 600;..;5 363;78 808;..;..
2006/2007;33 984;5 995;998;531;544;223;1 151;2 777;135;62;183;45;407;..;75;23;174;..;15;1 083;28 162;..;5 105;81 672;..;..
2007/2008;32 482;6 192;1 101;483;540;269;1 235;4 048;148;41;207;124;308;..;95;19;219;..;15;1 276;27 020;..;3 060;78 882;..;..
2008/2009;31 223;6 254;1 213;455;537;266;1 299;4 311;159;34;227;51;406;..;76;20;296;..;17;1 621;23 757;..;3 442;75 664;..;..
2009/2010;28 511;6 213;1 288;445;557;275;1 216;3 790;148;9;187;63;423;..;43;30;351;..;38;1 865;29 708;..;2 684;77 844;1 370;1 597
2010/2011;27 354;6 159;1 350;432;580;269;1 272;3 820;138;35;208;30;340;..;83;29;255;..;13;2 264;32 166;..;2 838;79 635;1 974;2 057
2011/2012;25 897;6 197;1 381;447;585;242;1 444;4 328;126;40;233;25;398;..;110;34;257;..;29;2 688;34 107;..;2 568;81 136;2 526;2 357
2012/2013;25 340;6 178;1 468;388;634;237;1 536;5 142;129;36;200;24;377;..;102;36;299;..;50;3 319;30 104;3 150;2 381;81 130;2 609;2 302
2013/2014;23 632;5 681;1 360;384;645;231;1 648;5 465;120;46;254;34;366;369;82;37;323;490;44;3 061;31 272;3 320;2 406;81 270;2 277;2 179
2014/2015;21 954;5 579;1 436;296;648;182;1 704;5 768;132;42;273;30;378;563;108;33;282;600;14;3 298;32 928;3 554;2 214;82 016;3 760;2 165
2015/2016;21 084;5 335;1 483;334;677;129;1 778;6 041;159;48;283;29;352;773;109;34;305;564;17;3 868;34 316;3 922;2 314;83 954;4 143;2 488
2016/2017;20 231;5 107;1 493;304;663;177;1 842;6 481;122;46;248;31;386;758;106;38;315;674;17;4 449;35 129;4 576;2 537;85 730;4 666;2 584
