23.1.1.7. Óvodai nevelés;;;;;;;;;;;
Nevelési év;Óvoda – feladat-ellátási hely;A férõhelyek száma;Pedagógus;Óvodás gyermek összesen;Óvodás gyermek, ebbõl: külön csoportban, intézményben nevelt sajátos nevelési igényû;Óvodás gyermek, ebbõl: hátrányos helyzetû;Gyermekcsoport összesen;Gyermekcsoport, ebbõl: külön csoport a sajátos nevelési igényû gyermekek nevelésére;Egy gyermekcsoportra jutó gyermek;Egy pedagógusra jutó gyermek;Óvodai férõhely-kihasználtság, %
1990/1991;4 718;385 020;33 635;391 950;821;..;16 161;106;24,3;11,7;101,8
1991/1992;4 706;378 692;33 159;394 937;846;..;16 108;126;24,5;11,9;104,3
1992/1993;4 730;378 691;33 140;395 256;836;..;16 113;104;24,5;11,9;104,4
1993/1994;4 712;376 057;32 957;398 082;929;..;16 062;110;24,8;12,1;105,9
1994/1995;4 719;376 370;33 007;397 311;1 127;..;16 216;144;24,5;12,0;105,6
1995/1996;4 720;373 158;32 320;400 527;1 188;..;15 955;142;25,1;12,4;107,3
1996/1997;4 708;371 354;31 891;395 518;1 191;..;15 847;146;25,0;12,4;106,5
1997/1998;4 682;370 224;31 848;384 669;1 183;..;15 782;141;24,4;12,1;103,9
1998/1999;4 701;369 520;32 235;376 135;1 268;..;15 784;154;23,8;11,7;101,8
1999/2000;4 643;366 245;31 653;366 871;1 167;..;15 479;143;23,7;11,6;100,2
2000/2001;4 640;361 000;32 000;353 100;681;..;15 495;159;22,8;11,0;97,8
2001/2002;4 633;353 801;32 327;342 285;1 361;..;15 502;175;22,1;10,6;96,7
2002/2003;4 641;357 057;31 550;331 707;1 437;..;15 016;179;22,1;10,5;92,9
2003/2004;4 611;350 935;31 392;327 508;1 489;..;14 794;183;22,1;10,4;93,3
2004/2005;4 579;350 206;30 704;325 999;1 429;57 361;14 640;173;22,3;10,6;93,1
2005/2006;4 526;349 679;30 531;326 605;1 431;63 820;14 546;175;22,5;10,7;93,4
2006/2007;4 524;351 825;30 550;327 644;1 484;60 381;14 560;178;22,5;10,7;93,1
2007/2008;4 386;349 514;29 920;323 958;1 374;70 634;14 248;167;22,7;10,8;92,7
2008/2009;4 355;354 267;29 860;325 677;1 408;83 975;14 298;171;22,8;10,9;91,9
2009/2010;4 366;363 024;30 007;328 545;1 207;95 989;14 396;155;22,8;10,9;90,5
2010/2011;4 358;370 136;30 359;338 162;1 272;105 240;14 560;158;23,2;11,1;91,4
2011/2012;4 336;374 870;30 396;341 190;1 456;104 740;14 576;175;23,4;11,2;91,0
2012/2013;4 321;377 154;30 449;340 204;1 478;103 016;14 654;186;23,2;11,2;90,2
2013/2014;4 532;378 532;30 873;330 184;1 464;54 316;14 781;181;22,3;10,7;87,2
2014/2015;4 544;380 468;31 234;321 489;1 444;26 040;14 826;188;21,7;10,3;84,5
2015/2016;4 564;379 671;31 484;321 012;1 517;22 336;14 895;193;21,6;10,2;84,6
2016/2017;4 574;379 332;31 462;317 487;1 535;19 233;14 879;197;21,3;10,1;83,7
2017/2018;4 579;379 324;31 476;322 741;1 641;19 918;14 907;222;21,7;10,3;85,1
2018/2019;4 598;382 691;31 313;326 588;1 751;19 576;14 980;228;21,8;10,4;85,3
2019/2020;4 608;386 240;31 054;330 539;1 884;18 334;15 082;241;21,9;10,6;85,6
2020/2021;4 575;386 134;30 957;322 713;1 847;16 985;15 001;246;21,5;10,4;83,6
2021/2022;4 589;386 749;30 750;318 422;2 075;17 435;14 983;267;21,3;10,4;82,3
