23.1.1.8. Általános iskolai nevelés és oktatás;;;;;;;;;;;;;;;;
Tanév;Iskola – feladat-ellátási hely;Osztályterem;Pedagógus;Tanuló összesen;Tanuló, ebbõl: nappali oktatásban;Nappali oktatásban tanulókból külön osztályban, intézményben nevelt sajátos nevelési igényû;Nappali oktatásban tanulókból hátrányos helyzetû;Nappali oktatásban tanulókból 1. évfolyamos;Nappali oktatásban tanulókból 1–4. évfolyamos;Nappali oktatásban tanulókból 5–8. évfolyamos;Nappali oktatásban tanulókból napköziotthoni ellátásban részesül, %;Nappali oktatásban tanulókból étkeztetésben részesül, %;Osztályok a nappali oktatásban összesen;Osztályok a nappali oktatásban, ebbõl: külön osztály a sajátos nevelési igényû tanulók oktatására;Egy osztályra jutó tanuló;Egy pedagógusra jutó tanuló
1990/1991;3 723;49 842;96 791;1 177 612;1 166 076;35 420;..;129 920;523 307;642 769;37,3;54,5;52 135;3 406;22,4;12,0
1991/1992;3 820;50 405;95 559;1 124 098;1 112 374;34 922;..;131 524;514 581;597 793;35,4;53,3;51 872;3 375;21,4;11,6
1992/1993;3 901;50 979;94 980;1 082 671;1 071 727;34 639;..;135 349;511 509;560 218;36,7;56,7;51 763;3 433;20,7;11,3
1993/1994;3 962;51 364;95 753;1 041 007;1 032 025;34 574;..;131 497;507 415;524 610;36,1;56,5;50 910;3 234;20,3;10,8
1994/1995;4 010;51 957;96 141;1 008 267;1 001 709;35 023;..;132 031;507 793;493 916;36,6;57,9;50 826;3 248;19,7;10,4
1995/1996;4 006;51 892;93 035;992 766;987 561;36 074;..;130 230;507 017;480 544;34,1;54,9;49 693;3 268;19,9;10,6
1996/1997;3 965;51 533;89 792;980 522;976 423;36 547;..;130 689;502 337;474 086;33,5;54,3;48 836;3 315;20,0;10,9
1997/1998;3 952;51 944;89 238;976 566;973 401;37 109;..;133 366;503 892;469 509;34,7;56,0;48 880;3 385;19,9;10,9
1998/1999;3 931;52 489;89 570;976 342;973 326;38 651;..;131 763;503 101;470 225;35,3;57,5;49 161;3 572;19,8;10,9
1999/2000;3 897;52 526;89 424;972 901;969 755;39 436;..;127 274;500 744;469 011;35,7;57,6;48 673;3 687;19,9;10,8
2000/2001;3 875;43 500;89 750;960 790;957 850;38 874;..;122 580;..;..;..;..;47 660;3 820;20,1;10,7
2001/2002;3 852;43 195;90 294;947 037;944 244;38 312;..;117 648;477 584;466 660;39,4;57,2;47 682;3 886;19,8;10,5
2002/2003;3 793;42 603;89 035;933 171;930 386;37 026;..;117 184;463 765;466 621;40,2;59,4;46 539;3 611;20,0;10,4
2003/2004;3 748;42 051;89 784;912 959;909 769;35 471;..;108 447;446 610;463 159;40,6;61,7;45 774;3 526;19,9;10,1
2004/2005;3 690;41 581;87 116;890 551;887 785;32 855;204 460;104 757;430 561;457 224;40,1;61,6;44 883;3 330;19,8;10,2
2005/2006;3 614;40 980;85 469;861 858;859 315;30 721;228 551;101 157;415 858;443 457;40,9;64,0;43 475;3 158;19,8;10,1
2006/2007;3 591;40 513;83 606;831 262;828 943;28 308;216 765;99 025;399 250;429 693;41,8;64,4;42 266;2 959;19,6;9,9
2007/2008;3 418;38 784;78 073;811 405;809 160;25 212;228 064;101 447;394 246;414 914;41,4;64,3;39 900;2 601;20,3;10,4
2008/2009;3 363;37 952;75 606;790 722;788 639;22 817;241 224;99 871;389 510;399 129;42,8;65,4;38 799;2 403;20,3;10,4
2009/2010;3 343;37 463;74 241;775 741;773 706;20 810;256 618;99 270;387 969;385 737;43,9;67,4;38 140;2 198;20,3;10,4
2010/2011;3 306;37 045;73 565;758 566;756 569;19 592;270 745;97 664;386 958;369 611;46,1;71,0;37 475;2 082;20,2;10,3
2011/2012;3 252;36 338;72 501;749 865;747 601;18 601;265 482;98 462;384 834;362 767;46,5;73,0;36 810;1 955;20,3;10,3
2012/2013;3 251;35 960;72 048;745 058;742 931;17 863;257 129;100 183;385 235;357 696;47,6;73,9;36 672;1 920;20,3;10,3
2013/2014;3 605;36 274;73 906;750 333;747 746;17 082;132 778;107 108;392 812;354 934;50,9;76,8;37 006;1 914;20,2;10,1
2014/2015;3 621;36 476;75 704;751 034;748 486;16 911;53 704;101 070;395 344;353 142;53,6;77,6;37 072;1 928;20,2;9,9
2015/2016;3 594;36 659;77 120;747 616;745 323;16 719;52 282;97 553;394 204;351 119;55,8;78,5;37 086;1 988;20,1;9,7
2016/2017;3 587;36 890;77 633;743 837;741 427;16 468;51 345;95 391;389 519;351 908;55,8;77,6;36 972;2 002;20,1;9,6
2017/2018;3 585;36 850;77 093;734 896;732 491;16 301;50 699;89 343;372 617;359 874;55,7;77,3;36 716;1 991;20,0;9,5
2018/2019;3 575;36 924;76 461;728 706;726 266;16 006;47 627;90 990;363 224;363 042;55,2;76,5;36 503;1 966;19,9;9,5
2019/2020;3 601;37 094;75 428;723 540;720 329;15 920;43 672;91 747;357 466;362 863;54,5;75,7;36 373;1 984;19,8;9,5
2020/2021;3 611;37 459;75 157;729 300;725 768;15 850;43 096;103 475;366 347;359 421;54,3;75,2;36 406;1 982;19,9;9,7
2021/2022;3 625;37 664;74 481;723 822;720 002;16 033;44 923;101 989;376 854;343 148;55,7;75,6;36 295;1 995;19,8;9,7
