23.1.1.9. Idegen nyelvet tanulók az általános iskolában;;;;;;;;
Tanév;Angol;Német;Francia;Olasz;Spanyol;Latin;Orosz;Egyéb
2010/2011;359 032;157 365;2 344;589;422;10;828;3 804
2011/2012;373 124;153 844;2 222;613;451;85;658;3 230
2012/2013;403 053;144 717;2 468;564;486;57;602;3 085
2013/2014;407 521;140 511;2 345;556;575;60;690;2 607
2014/2015;410 011;136 570;2 349;469;573;54;751;3 466
2015/2016;415 293;137 895;2 253;452;534;79;730;3 355
2016/2017;419 808;135 339;2 246;487;919;85;664;3 148
2017/2018;428 938;131 735;2 272;507;891;112;572;3 378
2018/2019;433 447;125 671;1 998;608;1 046;90;553;3 220
2019/2020;438 806;124 282;2 308;561;1 158;80;554;3 350
2020/2021;440 514;117 542;1 586;541;1 191;82;483;3 367
2021/2022;437 695;106 074;1 839;570;1 372;77;478;3 591
