23.1.1.10. A nemzetiségi oktatásban részt vevõ tanulók az általános iskolában;;;;;;;
Tanév;Német;Szlovák;Horvát;Cigány;Román;Szerb;Egyéb
2010/2011;46 693;4 489;2 220;1 578;1 248;309;185
2011/2012;47 294;4 511;2 259;1 432;1 314;308;290
2012/2013;48 910;4 333;2 289;1 359;1 089;314;312
2013/2014;49 721;4 375;2 154;991;1 349;303;607
2014/2015;49 371;3 975;2 197;831;1 263;323;607
2015/2016;50 292;3 720;2 186;836;1 000;349;608
2016/2017;50 344;3 697;2 148;710;1 078;305;910
2017/2018;50 778;3 495;2 106;930;1 163;334;379
2018/2019;49 882;3 462;2 073;1 124;1 344;331;453
2019/2020;49 410;3 375;2 011;938;1 324;343;514
2020/2021;49 306;3 401;1 819;650;1 392;378;493
2021/2022;48 366;3 514;1 968;675;1 301;426;491
