23.1.1.11. Számítógép-használat és -ellátottság az általános iskolában;;;;
Tanév;Számítógéppel rendelkezõ feladatellátási hely;Számítógép;Számítógépet használó tanuló;Egy számítógépre jutó tanuló
2002/2003;3 516;55 784;494 963;8,9
2003/2004;3 486;58 991;498 135;8,4
2004/2005;3 473;65 086;511 180;7,9
2005/2006;3 435;70 328;515 046;7,3
2006/2007;3 445;81 012;522 706;6,5
2007/2008;3 309;83 874;533 557;6,4
2008/2009;3 261;84 851;537 823;6,3
2009/2010;3 237;98 961;543 061;5,5
2010/2011;3 180;69 880;535 636;7,7
2011/2012;3 148;86 330;541 825;6,3
2012/2013;3 133;85 809;543 143;6,3
2013/2014;3 367;84 851;535 322;6,3
2014/2015;3 376;84 727;532 280;6,3
2015/2016;3 374;86 549;525 412;6,1
2016/2017;3 381;101 257;515 316;5,1
2017/2018;3 389;100 489;512 140;5,1
2018/2019;3 399;104 570;514 514;4,9
2019/2020;3 410;104 168;508 552;4,9
2020/2021;3 412;106 378;518 989;4,9
2021/2022;3 431;124 942;508 661;4,1
