23.1.1.15. Technikumi, szakgimnáziumi nevelés és oktatás;;;;;;;;;;;;;;;
Tanév;Iskola – feladat-ellátási hely;Osztályterem;Pedagógus;Tanuló összesen;Tanuló, ebbõl: nappali oktatás;Nappali oktatásban tanulókból külön osztályban, intézményben nevelt sajátos nevelési igényû;Nappali oktatásban tanulókból hátrányos helyzetû;Nappali oktatásban tanulókból 9. évfolyamos;Nappali oktatásban tanulókból nem szakképzõ évfolyamokon;Nappali oktatásban tanulókból szakképzõ évfolyamokon;Nappali oktatásban tanulókból leány;Nappali oktatásban tanulókból kollégiumban lakók aránya, %;Osztályok a nappali oktatásban;Egy osztályra jutó tanuló;Egy pedagógusra jutó tanuló
1990/1991;513;4 694;12 656;217 787;168 445;..;..;47 605;161 345;7 100;85 824;..;5 457;30,9;13,3
1991/1992;547;5 016;13 285;225 265;178 973;..;..;48 418;171 377;7 596;119 196;..;5 878;30,4;13,5
1992/1993;573;5 291;13 983;235 019;186 225;..;..;48 521;176 865;9 360;124 571;..;6 206;30,0;13,3
1993/1994;596;5 628;14 862;246 135;192 388;..;..;49 459;179 819;12 569;131 046;..;6 500;29,6;12,9
1994/1995;609;5 817;15 358;254 678;196 965;..;..;48 320;180 417;16 548;130 367;..;6 801;29,0;12,8
1995/1996;643;6 351;15 772;261 838;208 415;..;..;45 576;184 283;24 132;133 958;..;7 292;28,6;13,2
1996/1997;687;6 698;16 329;272 207;220 528;..;..;46 772;187 257;33 271;138 710;..;7 720;28,6;13,5
1997/1998;696;6 905;17 096;279 801;227 243;..;..;47 091;187 845;39 398;113 173;..;8 016;28,3;13,3
1998/1999;736;7 169;17 831;289 259;234 430;..;..;48 474;188 200;46 230;116 048;..;8 354;28,1;13,1
1999/2000;762;7 605;18 430;296 753;241 369;..;..;49 647;191 170;50 199;118 333;..;8 671;27,8;13,1
2000/2001;830;7 585;18 950;294 000;239 300;..;..;49 854;..;..;117 455;..;8 775;27,3;12,6
2001/2002;891;7 564;19 450;292 646;238 622;36;..;50 343;176 841;61 781;116 917;13,4;8 873;26,9;12,3
2002/2003;886;7 623;19 955;287 074;239 793;–;..;51 634;181 284;58 509;116 625;12,7;8 877;27,0;12,0
2003/2004;894;7 869;20 804;292 305;247 622;–;..;49 725;178 686;68 936;117 582;12,0;9 329;26,5;11,9
2004/2005;909;7 776;20 756;290 139;245 302;–;14 241;49 422;178 069;67 233;116 488;11,0;9 347;26,2;11,8
2005/2006;931;7 972;20 871;287 290;244 001;11;24 004;49 979;177 735;66 266;117 077;11,7;9 308;26,2;11,7
2006/2007;956;8 077;21 254;288 156;243 096;9;26 925;50 328;177 380;65 716;115 278;11,4;9 347;26,0;11,4
2007/2008;955;8 142;20 187;281 898;242 016;25;24 355;49 212;176 693;65 323;114 671;10,7;9 210;26,3;12,0
2008/2009;908;8 061;19 452;271 351;236 518;31;27 888;47 571;177 030;59 488;112 124;10,2;8 997;26,3;12,2
2009/2010;917;8 207;19 772;273 344;242 004;–;32 852;46 371;177 020;64 984;115 777;9,7;9 171;26,4;12,2
2010/2011;939;8 266;19 829;273 596;240 364;36;37 768;46 223;172 421;67 943;115 769;9,3;9 164;26,2;12,1
2011/2012;928;8 274;19 119;265 788;233 122;31;38 101;42 255;164 991;68 131;112 556;9,1;8 997;25,9;12,2
2012/2013;921;8 262;18 983;258 233;224 214;73;36 388;39 504;156 578;67 636;108 756;8,9;8 723;25,7;11,8
2013/2014;979;8 039;18 619;239 071;203 515;115;21 886;41 624;150 419;53 096;98 009;9,4;8 116;25,1;10,9
2014/2015;941;7 646;18 613;221 144;188 762;136;9 577;39 825;140 761;48 001;89 907;10,0;7 737;24,4;10,1
2015/2016;893;7 551;18 671;213 771;182 529;49;9 190;39 351;135 781;46 748;86 969;10,6;7 510;24,3;9,8
2016/2017;830;7 272;18 066;205 062;167 574;64;6 953;38 157;124 775;42 799;79 519;10,7;7 034;23,8;9,3
2017/2018;772;7 043;18 394;196 564;162 216;30;5 659;36 582;121 549;40 667;76 537;11,1;6 962;23,3;8,8
2018/2019;714;6 882;17 535;184 559;152 793;106;4 433;37 520;119 728;33 065;72 066;11,3;6 605;23,1;8,7
2019/2020;685;6 679;16 863;181 098;149 090;6;3 579;38 261;118 727;30 363;69 994;11,4;6 482;23,0;8,8
2020/2021;714;6 020;15 314;178 229;152 610;–;3 168;40 173;..;..;71 598;..;6 883;22,2;10,0
2021/2022;724;7 661;16 702;193 571;165 888;–;3 469;44 901;91 895;73 993;78 199;10,7;7 290;22,8;9,9
