23.1.1.16. Idegen nyelvet tanulók a középfokú iskolákban;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tanév;Szakiskola és készségfejlesztõ iskola, angol;Szakiskola és készségfejlesztõ iskola, német;Szakiskola és készségfejlesztõ iskola, francia;Szakiskola és készségfejlesztõ iskola, latin;Szakiskola és készségfejlesztõ iskola, orosz;Szakiskola és készségfejlesztõ iskola, egyéb;Szakképzõ iskola, angol;Szakképzõ iskola, német;Szakképzõ iskola, francia;Szakképzõ iskola, olasz;Szakképzõ iskola, latin;Szakképzõ iskola, orosz;Szakképzõ iskola, egyéb;Gimnázium, angol;Gimnázium, német;Gimnázium, francia;Gimnázium, olasz;Gimnázium, spanyol;Gimnázium, latin;Gimnázium, orosz;Gimnázium, egyéb;Technikum, szakgimnázium, angol;Technikum, szakgimnázium, német;Technikum, szakgimnázium, francia;Technikum, szakgimnázium, olasz;Technikum, szakgimnázium, spanyol;Technikum, szakgimnázium, latin;Technikum, szakgimnázium, orosz;Technikum, szakgimnázium, egyéb
2010/2011;2 516;1 891;–;29;45;20;53 811;47 195;666;235;16;98;692;205 071;118 878;21 563;14 998;9 687;9 915;2 639;1 552;171 129;77 308;2 672;1 767;935;885;749;567
2011/2012;2 468;2 164;–;30;–;12;53 158;44 046;483;161;24;110;671;200 722;116 258;20 282;15 025;10 207;9 230;2 834;1 610;163 757;70 548;2 502;1 460;855;577;834;507
2012/2013;2 629;2 214;–;28;6;–;54 122;40 440;585;56;18;95;653;198 178;115 744;19 587;14 121;9 983;8 123;3 077;1 869;167 468;68 762;2 261;1 335;880;725;792;407
2013/2014;2 523;1 794;–;–;88;–;50 765;34 606;585;43;25;154;432;194 848;116 552;18 795;13 363;9 972;7 279;3 351;1 814;151 112;62 028;1 999;1 291;774;700;738;305
2014/2015;2 016;1 308;–;31;63;–;48 445;31 984;569;37;–;32;377;190 709;116 727;17 514;12 566;9 568;5 813;3 569;1 320;146 891;57 228;1 680;993;575;532;775;374
2015/2016;1 858;1 265;–;–;–;–;47 659;30 290;492;23;–;138;396;188 343;113 863;16 845;11 704;9 920;4 840;3 593;1 312;140 323;53 607;1 389;598;519;194;516;358
2016/2017;1 903;950;–;–;–;–;58 898;33 493;345;10;9;128;468;192 296;114 082;16 458;11 537;10 477;4 536;3 709;1 505;138 470;48 103;1 317;473;314;312;376;171
2017/2018;1 911;890;–;–;–;–;57 100;31 261;313;–;–;166;330;193 708;115 902;16 858;12 320;11 064;4 341;3 892;1 791;138 533;43 414;1 059;403;278;111;345;222
2018/2019;1 871;695;6;–;–;–;52 378;28 692;269;–;10;34;340;193 656;115 306;16 348;13 033;11 999;4 079;4 052;2 041;127 767;39 862;1 008;344;265;39;310;145
2019/2020;1 950;727;9;–;–;–;51 974;26 576;279;22;–;70;402;194 209;115 992;16 916;13 745;12 560;3 784;4 248;2 166;125 893;35 934;888;266;193;757;317;103
2020/2021;1 781;670;–;–;–;–;..;..;..;..;..;..;..;202 467;117 665;16 775;14 769;13 260;3 460;4 565;2 030;..;..;..;..;..;..;..;..
2021/2022;1 887;565;–;–;–;–;43 447;20 322;122;–;–;41;986;204 401;118 991;17 121;15 812;14 312;3 038;4 574;1 870;122 413;36 698;1 000;530;346;58;306;2 274
