23.1.1.18. Számítógép-használat és -ellátottság a középfokú iskolákban;;;;;;;;;;;;;;;;
Tanév;Szakiskola és készségfejlesztõ iskola számítógéppel rendelkezõ feladatellátási hely;Szakiskola és készségfejlesztõ iskola, számítógép;Szakiskola és készségfejlesztõ iskola, számítógépet használó tanuló;Szakiskola és készségfejlesztõ iskola, egy számítógépre jutó tanuló;Szakképzõ iskola számítógéppel rendelkezõ feladatellátási hely;Szakképzõ iskola, számítógép;Szakképzõ iskola, számítógépet használó tanuló;Szakképzõ iskola, egy számítógépre jutó tanuló;Gimnázium számítógéppel rendelkezõ feladatellátási hely;Gimnázium, számítógép;Gimnázium, számítógépet használó tanuló;Gimnázium, egy számítógépre jutó tanuló;Technikum, szakgimnázium, számítógéppel rendelkezõ feladatellátási hely;Technikum, szakgimnázium, számítógép;Technikum, szakgimnázium, számítógépet használó tanuló;Technikum, szakgimnázium, egy számítógépre jutó tanuló
2002/2003;65;895;4 432;5,0;420;11 579;88 287;7,6;572;19 617;157 218;8,0;805;48 082;232 155;4,8
2003/2004;79;1 089;4 559;4,2;435;12 976;89 075;6,9;654;21 819;162 194;7,4;838;52 491;236 139;4,5
2004/2005;91;1 285;5 871;4,6;445;14 523;94 629;6,5;688;24 866;179 204;7,2;852;56 714;238 026;4,2
2005/2006;108;1 557;6 441;4,1;490;15 957;95 283;6,0;691;26 143;182 088;7,0;870;61 335;241 511;3,9
2006/2007;108;1 750;6 868;3,9;490;17 383;98 381;5,7;758;30 103;186 963;6,2;885;63 223;240 214;3,8
2007/2008;116;1 833;6 092;3,3;487;18 819;98 772;5,2;760;31 057;191 315;6,2;878;65 501;236 990;3,6
2008/2009;116;1 968;6 918;3,5;495;20 253;101 042;5,0;780;32 407;190 228;5,9;829;66 071;232 682;3,5
2009/2010;116;2 332;7 496;3,2;498;24 368;110 116;4,5;769;38 274;193 005;5,0;837;75 600;246 123;3,3
2010/2011;108;1 796;7 431;4,1;504;16 829;111 670;6,6;792;25 190;196 152;7,8;859;53 143;243 976;4,6
2011/2012;113;1 909;7 717;4,0;517;17 586;111 285;6,3;804;26 994;198 332;7,3;842;54 388;240 196;4,4
2012/2013;122;1 993;7 366;3,7;523;18 303;101 998;5,6;791;26 397;186 083;7,0;808;53 850;230 470;4,3
2013/2014;120;1 982;6 698;3,4;535;17 461;87 767;5,0;725;26 006;180 528;6,9;835;53 646;214 179;4,0
2014/2015;116;1 876;5 657;3,0;492;16 381;76 190;4,7;726;26 235;178 861;6,8;795;51 654;194 062;3,8
2015/2016;105;2 057;5 403;2,6;445;15 592;67 428;4,3;706;24 984;173 582;6,9;786;51 904;189 272;3,6
2016/2017;124;2 193;5 630;2,6;454;16 265;70 510;4,3;709;28 298;176 746;6,2;733;49 827;178 745;3,6
2017/2018;149;2 440;5 626;2,3;433;17 072;71 539;4,2;710;28 661;180 463;6,3;684;51 147;168 371;3,3
2018/2019;152;2 455;5 563;2,3;416;16 222;67 020;4,1;698;30 341;181 149;6,0;643;49 715;159 228;3,2
2019/2020;153;2 175;5 301;2,4;405;15 985;65 115;4,1;690;30 824;179 513;5,8;614;48 572;152 461;3,1
2020/2021;150;2 391;5 707;2,4;..;..;..;..;709;33 262;183 944;5,5;..;..;..;..
2021/2022;159;2 535;5 728;2,3;..;17 142;63 705;3,7;713;37 957;192 160;5,1;..;51 800;161 393;3,1
