23.1.1.23. Idegen nyelvet tanulók a felsõoktatásban;;;;;;;;
Tanév;Angol;Német;Francia;Olasz;Spanyol;Latin;Orosz;Egyéb
2001/2002;57 136;23 139;3 905;2 358;2 011;5 959;1 332;3 070
2002/2003;59 633;24 929;4 032;2 695;2 635;5 808;1 355;3 223
2003/2004;57 609;25 129;3 905;2 859;2 555;6 880;1 350;3 022
2004/2005;56 890;25 930;3 971;2 742;2 849;7 240;1 392;3 556
2005/2006;48 936;24 305;3 994;2 751;2 942;7 674;1 431;3 919
2006/2007;41 213;19 384;3 388;2 103;2 771;7 657;1 357;3 927
2007/2008;39 286;17 829;2 629;1 671;2 279;6 601;1 042;3 290
2008/2009;39 097;15 980;2 440;1 704;2 336;5 984;1 384;3 292
2009/2010;39 730;15 298;2 415;1 489;2 212;10 826;1 432;2 955
2010/2011;39 829;14 805;1 999;1 411;2 139;7 338;1 287;4 774
2011/2012;37 717;13 278;2 011;1 431;2 189;7 174;1 289;4 731
2012/2013;34 249;12 670;2 047;1 346;1 965;6 617;1 327;6 506
2013/2014;30 770;10 085;1 599;1 047;1 529;7 059;1 319;7 390
2014/2015;33 704;10 297;1 445;885;1 290;7 145;1 209;6 490
2015/2016;28 938;8 635;1 343;1 037;1 228;5 824;1 206;4 044
2016/2017;29 478;7 226;1 325;968;1 265;6 427;1 130;5 010
2017/2018;26 162;7 197;1 428;1 031;1 597;3 764;1 328;5 568
2018/2019;25 477;6 483;1 505;1 125;1 661;4 177;955;4 324
2019/2020;26 920;6 770;1 319;1 059;1 793;5 491;1 013;4 974
2020/2021;24 962;5 629;1 157;1 002;1 642;6 261;950;7 208
2021/2022;25 107;5 145;1 094;997;1 844;5 990;982;7 415
