23.1.1.24. Számítógép-használat és -ellátottság a felsõoktatásban;;;
Tanév;Oktatási célra használt számítógép;Számítógépet használó hallgató;Egy számítógépre jutó hallgató
2002/2003;41 617;245 761;5,9
2003/2004;47 658;279 368;5,9
2004/2005;51 313;302 743;5,9
2005/2006;59 396;329 408;5,5
2006/2007;56 547;316 292;5,6
2007/2008;59 446;325 006;5,5
2008/2009;62 587;321 819;5,1
2009/2010;64 610;317 325;4,9
2010/2011;60 967;261 658;4,3
2011/2012;59 165;275 425;4,7
2012/2013;59 988;241 280;4,0
2013/2014;69 893;287 406;4,1
2014/2015;88 097;296 251;3,4
2015/2016;77 462;279 053;3,6
2016/2017;92 649;271 682;2,9
2017/2018;78 513;264 638;3,4
2018/2019;70 150;263 836;3,8
2019/2020;75 433;265 392;3,5
2020/2021;45 067;287 493;6,4
2021/2022;45 568;293 566;6,4
