23.1.1.26. A 20–24 éves népességbõl a legalább középfokú végzettségûek aránya [%];;;
Év;A 20–24 éves népességbõl a legalább középfokú végzettségûek aránya, %;Ebbõl: férfi;Ebbõl: nõ
2000;83,5;83,0;84,0
2001;84,7;84,5;85,0
2002;85,9;85,5;86,3
2003;84,7;83,4;86,1
2004;83,5;82,0;84,9
2005;83,4;81,9;84,9
2006;82,9;81,1;84,8
2007;83,7;82,3;85,2
2008;83,5;81,8;85,3
2009;83,6;81,8;85,4
2010;83,5;81,8;85,2
2011;82,7;81,5;84,0
2012;83,2;81,8;84,7
2013;84,2;83,0;85,4
2014;85,3;83,3;87,3
2015;84,2;83,3;85,2
2016;83,5;82,9;84,1
2017;84,3;84,2;84,5
2018;85,0;84,6;85,4
2019;86,6;85,7;87,5
2020;85,7;84,4;87,0
2021;84,5;83,4;85,6
