23.1.1.27. A 25–64 éves népesség megoszlása iskolai végzettség szerint [%];;;;;;;;;;;;;;;;;;;;;;
Megnevezés;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
A legfeljebb alapfokú végzettségûek;30,6;30,0;28,6;25,9;24,7;23,6;22,0;21,0;20,4;19,5;18,8;18,5;18,0;17,5;16,9;16,8;16,6;16,0;15,1;15,0;14,4;13,7
A legalább középfokú végzettségûek;69,4;70,0;71,4;74,1;75,3;76,4;78,0;79,0;79,6;80,5;81,2;81,5;82,0;82,5;83,1;83,2;83,4;84,0;84,9;85,0;85,6;86,3
Összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ebbõl: a felsõfokú végzettségûek;14,0;14,0;14,2;15,4;16,7;17,1;17,7;18,1;19,3;19,8;20,0;21,0;22,1;22,6;23,4;24,2;23,7;24,1;25,1;26,0;27,2;29,3
Nemek szerint;;;;;;;;;;;;;;;;;;;;;;
Férfi;;;;;;;;;;;;;;;;;;;;;;
legfeljebb alapfokú végzettségû;26,0;25,4;23,8;21,9;20,6;19,7;18,3;17,4;16,9;16,2;15,7;15,6;15,5;15,1;14,9;15,1;14,8;14,0;13,6;13,7;13,1;12,8
legalább középfokú végzettségû;74,0;74,6;76,2;78,1;79,4;80,3;81,7;82,6;83,1;83,8;84,3;84,4;84,5;84,9;85,1;84,9;85,2;86,0;86,4;86,3;86,9;87,2
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
ebbõl: felsõfokú végzettségû;13,7;13,5;13,8;14,9;15,9;15,9;16,3;16,5;17,4;17,5;17,6;18,6;19,1;19,5;20,2;21,0;20,5;21,0;21,6;21,6;23,0;24,8
Nõ;;;;;;;;;;;;;;;;;;;;;;
legfeljebb alapfokú végzettségû;35,3;34,3;33,0;29,7;28,4;27,3;25,4;24,3;23,6;22,5;21,7;21,3;20,4;19,8;18,9;18,4;18,4;17,9;16,7;16,4;15,8;14,6
legalább középfokú végzettségû;64,7;65,7;67,0;70,3;71,6;72,7;74,6;75,7;76,4;77,5;78,3;78,7;79,6;80,2;81,1;81,6;81,6;82,1;83,3;83,6;84,2;85,4
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
ebbõl: felsõfokú végzettségû;14,4;14,4;14,6;15,9;17,5;18,2;19,1;19,6;21,0;22,1;22,3;23,3;25,0;25,6;26,3;27,3;26,8;27,0;28,5;30,3;31,3;33,8
Korcsoport szerint;;;;;;;;;;;;;;;;;;;;;;
25–34 éves;;;;;;;;;;;;;;;;;;;;;;
legfeljebb alapfokú végzettségû;18,7;19,0;18,4;17,0;16,2;15,0;14,3;14,5;14,3;13,9;13,6;12,9;12,6;12,5;13,0;14,0;14,5;14,0;13,3;12,7;12,4;13,2
legalább középfokú végzettségû;81,3;81,0;81,6;83,0;83,8;85,0;85,7;85,5;85,7;86,1;86,4;87,1;87,4;87,5;87,0;86,0;85,5;86,0;86,7;87,3;87,6;86,8
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
ebbõl: felsõfokú végzettségû;14,7;14,8;15,0;16,8;18,9;19,6;20,7;22,0;24,1;25,1;26,1;28,2;30,5;31,2;32,1;32,1;30,4;30,2;30,6;30,6;30,7;32,9
35–44 éves;;;;;;;;;;;;;;;;;;;;;;
legfeljebb alapfokú végzettségû;21,6;21,5;21,3;19,3;18,4;18,9;18,5;17,6;17,3;16,9;16,7;16,7;16,1;15,1;14,4;13,5;13,5;13,8;13,8;13,7;12,2;11,5
legalább középfokú végzettségû;78,4;78,5;78,7;80,7;81,6;81,1;81,5;82,4;82,7;83,1;83,3;83,3;83,9;84,9;85,6;86,5;86,5;86,2;86,2;86,3;87,8;88,5
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
ebbõl: felsõfokú végzettségû;15,1;14,9;14,5;16,2;17,5;17,2;17,2;17,8;19,0;19,2;19,1;21,6;22,9;23,4;24,5;26,8;26,6;27,2;28,8;30,3;33,2;35,2
45–54 éves;;;;;;;;;;;;;;;;;;;;;;
legfeljebb alapfokú végzettségû;28,9;28,4;27,5;24,7;24,4;24,3;22,8;21,5;21,4;20,2;19,7;19,6;17,9;18,3;17,4;17,6;17,0;15,9;14,4;14,7;15,1;14,1
legalább középfokú végzettségû;71,1;71,6;72,5;75,3;75,6;75,7;77,2;78,5;78,6;79,8;80,3;80,4;82,1;81,7;82,6;82,4;83,0;84,1;85,6;85,3;84,9;85,9
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
ebbõl: felsõfokú végzettségû;14,2;14,2;14,4;14,6;15,7;16,3;17,1;16,3;17,1;18,3;18,3;18,1;19,4;19,8;20,3;20,8;20,6;21,1;22,5;23,3;23,8;26,1
55–64 éves;;;;;;;;;;;;;;;;;;;;;;
legfeljebb alapfokú végzettségû;59,9;56,4;52,0;46,9;42,9;39,1;35,0;32,0;29,6;27,6;25,7;25,0;25,2;23,9;22,8;22,3;21,9;20,5;19,3;19,3;18,4;16,4
legalább középfokú végzettségû;40,1;43,6;48,0;53,1;57,1;60,9;65,0;68,0;70,4;72,4;74,3;75,0;74,8;76,1;77,2;77,7;78,1;79,5;80,7;80,7;81,6;83,6
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
ebbõl: felsõfokú végzettségû;11,8;11,5;12,6;13,8;14,4;14,6;15,1;15,5;16,2;16,3;16,3;16,1;15,6;16,2;16,9;17,5;17,2;17,7;18,2;19,2;20,4;22,5
Gazdasági aktivitás szerint;;;;;;;;;;;;;;;;;;;;;;
Foglalkoztatott;;;;;;;;;;;;;;;;;;;;;;
legfeljebb alapfokú végzettségû;17,7;17,5;16,6;15,1;14,1;13,8;12,7;12,1;12,1;11,3;10,9;10,8;10,4;10,2;10,8;11,0;11,4;11,4;11,0;10,8;10,2;9,9
legalább középfokú végzettségû;82,3;82,5;83,4;84,9;85,9;86,2;87,3;87,9;87,9;88,7;89,1;89,2;89,6;89,8;89,2;89,0;88,6;88,6;89,0;89,2;89,8;90,1
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
ebbõl: felsõfokú végzettségû;18,6;18,4;18,4;19,8;21,5;21,8;22,2;22,3;23,8;25,0;25,3;26,8;27,8;28,1;28,1;28,6;27,7;27,6;28,5;29,1;30,6;32,5
Munkanélküli;;;;;;;;;;;;;;;;;;;;;;
legfeljebb alapfokú végzettségû;33,7;37,1;37,2;33,5;31,1;30,0;32,3;33,7;34,8;31,2;30,4;30,1;29,1;29,1;30,5;32,4;32,9;34,2;32,2;33,0;30,0;29,6
legalább középfokú végzettségû;66,3;62,9;62,8;66,5;68,9;70,0;67,7;66,3;65,2;68,8;69,6;69,9;70,9;70,9;69,5;67,6;67,1;65,8;67,8;67,0;70,0;70,4
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
ebbõl: felsõfokú végzettségû;4,1;4,2;5,4;5,3;7,7;7,8;7,0;7,9;7,4;9,0;9,4;9,3;10,4;10,1;10,3;9,8;9,8;10,5;11,4;13,1;13,7;14,0
Gazdaságilag nem aktív;;;;;;;;;;;;;;;;;;;;;;
legfeljebb alapfokú végzettségû;54,5;52,5;50,3;46,8;45,3;43,3;40,5;37,9;35,4;35,9;34,5;34,5;34,6;34,4;32,9;33,1;33,7;31,7;30,8;32,4;32,1;31,0
legalább középfokú végzettségû;45,5;47,5;49,7;53,2;54,7;56,7;59,5;62,1;64,6;64,1;65,5;65,5;65,4;65,6;67,1;66,9;66,3;68,3;69,2;67,6;67,9;69,0
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
ebbõl: felsõfokú végzettségû;6,8;6,8;7,1;7,7;8,1;8,3;9,5;10,5;11,6;10,2;10,2;10,1;10,4;10,6;11,6;12,3;11,1;11,7;11,9;13,2;13,2;15,0
