23.1.1.30. Felnõttek eredményei a PIAAC felmérésben, 2017;;;
Megnevezés;Szövegértés átlagpontszám;Számolási készség átlagpontszám;Problémamegoldó készség információtechnológiai környezetben, %
Összesen;264;272;28,5
Nemek szerint;;;
férfi;263;274;29,6
nõ;265;271;27,4
Korcsoport szerint;;;
16–24 éves;270;271;43,5
25–34 éves;276;280;40,7
35–44 éves;269;281;33,3
45–54 éves;262;272;22,3
55–65 éves;246;257;8,6
Végzettség szerint;;;
középfokúnál alacsonyabb;219;222;3,4
középfokú végzettség;261;270;18,5
felsõfokú végzettség;295;309;52,2
