23.1.2.2. Az iskoláskorú népesség megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Budapest;fõváros, régió;369 182;351 343;335 537;323 417;313 559;309 009;304 470;303 154;302 401;305 085;309 254;308 578;311 384;312 363;313 228;313 057;310 624;309 984;309 470;308 731;304 983;303 079
Pest ;megye, régió;274 588;273 460;271 864;272 879;273 421;275 242;277 907;280 498;282 501;285 144;285 167;280 875;281 323;280 065;278 522;277 993;278 795;280 537;282 777;286 135;289 938;294 546
Közép-Magyarország;nagyrégió;643 770;624 803;607 401;596 296;586 980;584 251;582 377;583 652;584 902;590 229;594 421;589 453;592 707;592 428;591 750;591 050;589 419;590 521;592 247;594 866;594 921;597 625
Fejér ;megye;111 880;109 203;106 119;103 795;101 641;99 773;98 451;97 385;95 624;94 306;92 782;91 521;90 253;88 396;86 325;85 304;83 551;82 683;82 045;82 020;82 113;82 466
Komárom-Esztergom ;megye;80 193;78 333;76 178;74 749;73 362;72 401;71 395;70 492;69 317;67 937;66 953;65 181;64 246;62 989;61 489;60 719;60 017;59 607;59 503;59 549;59 284;59 391
Veszprém ;megye;96 810;94 156;90 493;88 230;85 464;83 513;81 826;79 967;78 285;76 782;75 140;74 596;73 534;72 004;70 046;68 423;67 239;66 518;65 865;65 444;65 512;65 348
Közép-Dunántúl;régió;288 883;281 692;272 790;266 774;260 467;255 687;251 672;247 844;243 226;239 025;234 875;231 298;228 033;223 389;217 860;214 446;210 807;208 808;207 413;207 013;206 909;207 205
Gyõr-Moson-Sopron ;megye;109 942;106 981;105 331;102 576;100 278;98 899;97 375;96 568;96 177;95 693;94 984;94 206;94 421;93 950;93 214;92 889;92 249;92 496;92 891;93 672;95 014;95 563
Vas;megye;65 810;64 015;62 129;60 597;59 142;57 937;56 936;55 730;54 675;53 654;52 477;51 805;51 107;50 327;49 271;48 668;47 960;47 467;46 912;46 869;46 618;46 833
Zala ;megye;73 050;70 960;68 763;67 149;65 570;63 679;62 260;60 546;58 990;57 743;56 367;54 838;54 024;52 823;51 767;50 629;49 708;48 806;47 952;47 365;46 839;46 734
Nyugat-Dunántúl;régió;248 802;241 956;236 223;230 322;224 990;220 515;216 571;212 844;209 842;207 090;203 828;200 849;199 552;197 100;194 252;192 186;189 917;188 769;187 755;187 906;188 471;189 130
Baranya;megye;101 995;98 948;95 965;93 286;91 036;89 499;88 430;86 799;84 987;84 263;82 798;80 819;79 593;77 892;76 288;74 880;73 560;72 704;71 455;70 306;69 683;69 538
Somogy ;megye;84 179;82 208;80 525;78 921;77 196;75 424;73 909;72 235;70 344;69 274;68 044;68 420;67 289;65 401;63 556;61 861;60 244;58 930;57 519;56 656;56 546;56 308
Tolna ;megye;62 647;61 011;59 662;58 620;57 226;55 908;54 503;53 107;51 528;49 992;48 773;48 674;47 904;46 519;45 292;44 154;43 206;42 456;41 563;40 849;40 391;40 222
