23.1.2.5. Óvodai nevelés megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Feladatellátási hely;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;556;555;554;556;546;540;543;535;536;546;567;575;574;589;598;605;616;621;623;626;614;614
Pest ;megye, régió;430;436;441;445;450;448;452;457;456;463;469;478;479;502;512;516;518;524;532;536;536;540
Közép-Magyarország;nagyrégió;986;991;995;1 001;996;988;995;992;992;1 009;1 036;1 053;1 053;1 091;1 110;1 121;1 134;1 145;1 155;1 162;1 150;1 154
Fejér ;megye;177;174;176;174;173;172;171;163;158;165;165;163;162;172;171;177;177;178;179;180;177;176
Komárom-Esztergom ;megye;134;137;139;137;138;134;134;133;133;134;133;131;132;140;139;138;138;138;139;140;139;140
Veszprém ;megye;196;193;192;186;185;183;184;184;183;184;184;182;181;186;186;187;188;188;188;188;183;183
Közép-Dunántúl;régió;507;504;507;497;496;489;489;480;474;483;482;476;475;498;496;502;503;504;506;508;499;499
Gyõr-Moson-Sopron ;megye;222;225;232;232;231;226;229;224;223;224;224;223;228;231;231;232;232;233;233;235;235;236
Vas;megye;147;147;148;147;146;141;140;133;134;130;130;129;130;131;129;131;131;129;129;130;129;129
Zala ;megye;172;170;169;163;161;158;158;150;146;145;142;140;139;145;145;144;144;145;143;143;144;144
Nyugat-Dunántúl;régió;541;542;549;542;538;525;527;507;503;499;496;492;497;507;505;507;507;507;505;508;508;509
Baranya;megye;205;205;208;210;208;205;202;193;193;193;190;189;187;189;188;188;191;192;192;192;190;189
Somogy ;megye;218;216;213;210;207;207;206;197;197;194;191;179;176;191;191;193;190;190;193;193;192;191
Tolna ;megye;155;155;152;151;146;143;145;134;128;127;127;124;124;131;129;129;128;128;129;129;128;128
Dél-Dunántúl;régió;578;576;573;571;561;555;553;524;518;514;508;492;487;511;508;510;509;510;514;514;510;508
Dunántúl;nagyrégió;1 626;1 622;1 629;1 610;1 595;1 569;1 569;1 511;1 495;1 496;1 486;1 460;1 459;1 516;1 509;1 519;1 519;1 521;1 525;1 530;1 517;1 516
Borsod-Abaúj-Zemplén;megye;371;365;368;364;367;358;359;351;348;348;345;346;343;354;354;356;360;363;364;366;365;370
Heves ;megye;156;158;156;157;154;153;153;149;154;154;151;153;153;157;156;156;155;157;158;159;158;157
Nógrád ;megye;148;146;147;143;142;141;139;137;132;136;136;135;136;138;138;138;138;136;135;135;136;137
Észak-Magyarország;régió;675;669;671;664;663;652;651;637;634;638;632;634;632;649;648;650;653;656;657;660;659;664
Hajdú-Bihar ;megye;220;218;218;218;219;223;216;214;211;207;201;200;200;205;204;204;202;202;204;206;205;208
Jász-Nagykun-Szolnok;megye;195;195;193;192;190;189;188;179;177;171;169;168;162;176;176;177;179;178;178;177;177;179
Szabolcs-Szatmár-Bereg;megye;298;300;299;300;298;299;299;294;296;296;295;291;290;297;298;296;295;294;297;297;294;292
Észak-Alföld;régió;713;713;710;710;707;711;703;687;684;674;665;659;652;678;678;677;676;674;679;680;676;679
Bács-Kiskun ;megye;251;246;246;241;242;238;239;211;205;210;206;206;208;248;247;245;246;242;243;244;243;245
Békés ;megye;201;198;198;195;188;185;184;176;172;166;160;155;150;173;175;176;174;172;171;166;165;165
Csongrád-Csanád ;megye;188;194;192;190;188;183;183;172;173;173;173;169;167;177;177;176;172;169;168;166;165;166
Dél-Alföld;régió;640;638;636;626;618;606;606;559;550;549;539;530;525;598;599;597;592;583;582;576;573;576
Alföld és Észak;nagyrégió;2 028;2 020;2 017;2 000;1 988;1 969;1 960;1 883;1 868;1 861;1 836;1 823;1 809;1 925;1 925;1 924;1 921;1 913;1 918;1 916;1 908;1 919
Összesen;ország;4 640;4 633;4 641;4 611;4 579;4 526;4 524;4 386;4 355;4 366;4 358;4 336;4 321;4 532;4 544;4 564;4 574;4 579;4 598;4 608;4 575;4 589
Óvodapedagógus;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;5 375;5 402;5 263;5 272;5 088;5 083;5 160;5 133;5 129;5 203;5 360;5 437;5 486;5 466;5 583;5 697;5 795;5 789;5 788;5 688;5 654;5 476
Pest ;megye, régió;3 450;3 596;3 506;3 580;3 564;3 607;3 690;3 747;3 808;3 894;4 040;4 118;4 160;4 205;4 343;4 417;4 426;4 504;4 477;4 466;4 476;4 503
Közép-Magyarország;nagyrégió;8 825;8 998;8 769;8 852;8 652;8 690;8 850;8 880;8 937;9 097;9 400;9 555;9 646;9 671;9 926;10 114;10 221;10 293;10 265;10 154;10 130;9 979
Fejér ;megye;1 377;1 387;1 346;1 339;1 319;1 325;1 322;1 296;1 281;1 311;1 323;1 341;1 336;1 348;1 369;1 393;1 374;1 392;1 345;1 328;1 316;1 290
Komárom-Esztergom ;megye;1 025;1 044;1 014;994;972;959;962;955;968;961;978;978;981;998;980;998;987;996;990;964;956;954
Veszprém ;megye;1 215;1 224;1 156;1 124;1 088;1 069;1 054;1 043;1 033;1 031;1 036;1 033;1 029;1 051;1 057;1 055;1 051;1 064;1 051;1 023;987;979
Közép-Dunántúl;régió;3 617;3 655;3 516;3 457;3 379;3 353;3 338;3 294;3 282;3 303;3 337;3 352;3 346;3 397;3 406;3 446;3 412;3 452;3 386;3 315;3 259;3 223
Gyõr-Moson-Sopron ;megye;1 422;1 460;1 408;1 385;1 353;1 347;1 357;1 353;1 357;1 380;1 388;1 397;1 422;1 462;1 467;1 488;1 481;1 477;1 493;1 512;1 510;1 525
Vas;megye;842;851;822;803;795;764;759;715;725;725;723;726;718;719;734;738;741;744;748;753;752;749
Zala ;megye;870;871;838;801;787;773;766;746;733;731;743;745;750;754;753;757;745;740;730;719;706;704
Nyugat-Dunántúl;régió;3 134;3 182;3 068;2 989;2 935;2 884;2 882;2 814;2 815;2 836;2 854;2 868;2 890;2 935;2 954;2 983;2 967;2 961;2 971;2 984;2 968;2 978
Baranya;megye;1 240;1 262;1 204;1 206;1 171;1 148;1 116;1 075;1 108;1 116;1 117;1 121;1 107;1 133;1 154;1 153;1 148;1 136;1 123;1 111;1 115;1 117
Somogy ;megye;1 085;1 086;1 077;1 056;1 033;1 023;1 006;983;964;955;947;915;916;933;936;945;944;938;924;927;900;907
Tolna ;megye;854;857;846;827;783;758;782;729;717;709;718;706;706;700;699;703;703;697;696;699;682;671
Dél-Dunántúl;régió;3 179;3 205;3 127;3 089;2 987;2 929;2 904;2 787;2 789;2 780;2 782;2 742;2 729;2 766;2 789;2 801;2 795;2 771;2 743;2 737;2 697;2 695
Dunántúl;nagyrégió;9 930;10 042;9 711;9 535;9 301;9 166;9 124;8 895;8 886;8 919;8 973;8 962;8 965;9 098;9 149;9 230;9 174;9 184;9 100;9 036;8 924;8 896
Borsod-Abaúj-Zemplén;megye;2 314;2 344;2 289;2 256;2 226;2 217;2 206;2 135;2 104;2 081;2 067;2 052;2 043;2 099;2 138;2 151;2 163;2 135;2 116;2 097;2 104;2 094
Heves ;megye;1 015;1 026;1 002;1 000;988;983;989;926;937;938;945;941;940;962;938;945;929;923;915;912;894;888
Nógrád ;megye;711;693;698;683;665;654;649;614;604;611;599;580;579;588;591;592;576;563;569;536;524;533
Észak-Magyarország;régió;4 040;4 063;3 989;3 939;3 879;3 854;3 844;3 675;3 645;3 630;3 611;3 573;3 562;3 649;3 667;3 688;3 668;3 621;3 600;3 545;3 522;3 515
Hajdú-Bihar ;megye;1 880;1 873;1 849;1 856;1 833;1 846;1 799;1 768;1 754;1 737;1 731;1 724;1 725;1 729;1 734;1 729;1 707;1 697;1 688;1 686;1 692;1 698
Jász-Nagykun-Szolnok;megye;1 297;1 298;1 261;1 274;1 250;1 236;1 226;1 171;1 147;1 148;1 133;1 152;1 125;1 146;1 127;1 138;1 137;1 140;1 157;1 139;1 147;1 156
Szabolcs-Szatmár-Bereg;megye;1 826;1 841;1 837;1 855;1 836;1 834;1 832;1 781;1 738;1 722;1 727;1 697;1 699;1 776;1 805;1 781;1 764;1 753;1 722;1 693;1 735;1 700
Észak-Alföld;régió;5 003;5 012;4 947;4 985;4 919;4 916;4 857;4 720;4 639;4 607;4 591;4 573;4 549;4 651;4 666;4 648;4 608;4 590;4 567;4 518;4 574;4 554
Bács-Kiskun ;megye;1 640;1 640;1 621;1 605;1 565;1 552;1 545;1 513;1 515;1 523;1 533;1 519;1 517;1 581;1 595;1 564;1 570;1 574;1 575;1 589;1 603;1 628
Békés ;megye;1 191;1 181;1 147;1 134;1 091;1 088;1 075;1 029;1 019;1 017;1 017;999;984;997;1 000;1 000;1 009;1 004;999;1 007;996;989
Csongrád-Csanád ;megye;1 371;1 391;1 366;1 342;1 297;1 265;1 255;1 208;1 219;1 214;1 234;1 215;1 226;1 226;1 231;1 240;1 212;1 210;1 207;1 205;1 208;1 189
Dél-Alföld;régió;4 202;4 212;4 134;4 081;3 953;3 905;3 875;3 750;3 753;3 754;3 784;3 733;3 727;3 804;3 826;3 804;3 791;3 788;3 781;3 801;3 807;3 806
Alföld és Észak;nagyrégió;13 245;13 287;13 070;13 005;12 751;12 675;12 576;12 145;12 037;11 991;11 986;11 879;11 838;12 104;12 159;12 140;12 067;11 999;11 948;11 864;11 903;11 875
Összesen;ország;32 000;32 327;31 550;31 392;30 704;30 531;30 550;29 920;29 860;30 007;30 359;30 396;30 449;30 873;31 234;31 484;31 462;31 476;31 313;31 054;30 957;30 750
Óvodás gyermek;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;51 000;49 336;48 483;47 897;47 813;48 329;49 335;49 692;50 240;52 017;54 471;55 720;56 525;56 122;55 635;55 516;54 460;54 611;54 429;53 364;50 849;48 402
Pest ;megye, régió;39 600;39 060;38 589;39 115;39 686;40 456;41 291;41 901;43 350;44 388;46 073;47 010;47 502;46 600;45 885;46 239;46 210;47 243;48 373;49 561;49 341;49 357
Közép-Magyarország;nagyrégió;90 600;88 396;87 072;87 012;87 499;88 785;90 626;91 593;93 590;96 405;100 544;102 730;104 027;102 722;101 520;101 755;100 670;101 854;102 802;102 925;100 190;97 759
Fejér ;megye;15 400;14 713;14 217;13 847;13 949;13 818;13 962;13 906;13 729;14 174;14 528;14 708;14 674;14 239;13 739;13 879;13 682;14 034;14 075;14 559;14 276;14 264
Komárom-Esztergom ;megye;11 600;11 147;10 699;10 432;10 299;10 324;10 347;10 261;10 249;10 211;10 680;10 704;10 740;10 382;10 080;10 081;9 946;10 088;10 297;10 473;10 302;9 977
Veszprém ;megye;12 900;12 397;11 643;11 250;10 962;10 868;11 034;10 911;11 120;11 155;11 397;11 568;11 496;11 104;10 687;10 553;10 439;10 627;10 843;10 883;10 652;10 493
Közép-Dunántúl;régió;39 900;38 257;36 559;35 529;35 210;35 010;35 343;35 078;35 098;35 540;36 605;36 980;36 910;35 725;34 506;34 513;34 067;34 749;35 215;35 915;35 230;34 734
Gyõr-Moson-Sopron ;megye;14 800;14 095;13 577;13 569;13 563;13 610;13 827;13 968;14 310;14 760;15 276;15 525;15 632;15 249;14 956;15 058;14 912;14 958;15 255;15 469;15 265;15 279
Vas;megye;9 100;8 781;8 245;8 034;7 980;7 886;7 972;7 780;7 786;7 717;7 906;8 023;8 004;7 695;7 498;7 444;7 419;7 538;7 746;7 965;7 891;7 693
Zala ;megye;9 400;9 114;8 721;8 400;8 277;8 113;8 208;8 034;8 025;8 184;8 550;8 581;8 616;8 112;7 839;7 700;7 579;7 725;7 655;7 807;7 467;7 455
Nyugat-Dunántúl;régió;33 300;31 990;30 543;30 003;29 820;29 609;30 007;29 782;30 121;30 661;31 732;32 129;32 252;31 056;30 293;30 202;29 910;30 221;30 656;31 241;30 623;30 427
Baranya;megye;13 700;13 080;12 622;12 441;12 375;12 285;12 178;11 748;12 070;12 353;13 032;12 869;12 812;12 223;11 911;11 672;11 536;11 537;11 561;11 521;11 118;10 964
Somogy ;megye;12 000;11 583;11 179;11 112;10 982;10 891;10 486;10 328;10 172;10 157;10 391;10 213;9 915;9 470;9 044;9 095;8 957;9 224;9 331;9 503;9 398;9 228
Tolna ;megye;9 100;8 823;8 404;8 246;7 993;7 941;8 207;7 761;7 608;7 413;7 522;7 527;7 576;7 185;6 948;6 939;6 910;7 029;7 117;7 250;7 001;6 829
Dél-Dunántúl;régió;34 800;33 486;32 205;31 799;31 350;31 117;30 871;29 837;29 850;29 923;30 945;30 609;30 303;28 878;27 903;27 706;27 403;27 790;28 009;28 274;27 517;27 021
Dunántúl;nagyrégió;108 000;103 733;99 307;97 331;96 380;95 736;96 221;94 697;95 069;96 124;99 282;99 718;99 465;95 659;92 702;92 421;91 380;92 760;93 880;95 430;93 370;92 182
Borsod-Abaúj-Zemplén;megye;27 100;26 532;25 849;25 783;25 474;25 193;25 204;24 751;24 353;24 182;24 566;24 762;24 369;23 584;22 767;23 180;22 882;23 426;23 621;23 965;23 498;23 402
Heves ;megye;11 200;11 018;10 576;10 811;10 607;10 641;10 513;9 934;10 178;10 047;10 428;10 473;10 346;10 022;9 574;9 559;9 440;9 565;9 700;9 911;9 724;9 689
Nógrád ;megye;7 600;7 247;6 987;6 885;6 924;6 872;6 883;6 872;6 745;6 693;6 655;6 591;6 416;6 158;5 903;5 873;5 857;5 974;5 946;6 058;5 928;6 028
Észak-Magyarország;régió;45 900;44 797;43 412;43 479;43 005;42 706;42 600;41 557;41 276;40 922;41 649;41 826;41 131;39 764;38 244;38 612;38 179;38 965;39 267;39 934;39 150;39 119
Hajdú-Bihar ;megye;22 000;21 301;20 308;20 110;20 028;20 189;19 815;19 490;19 416;19 241;19 566;19 698;19 401;18 674;18 060;17 771;17 571;18 103;18 573;19 064;18 604;18 685
Jász-Nagykun-Szolnok;megye;15 100;14 537;14 022;13 845;13 763;13 759;13 684;13 457;13 321;13 215;13 552;13 384;13 357;12 785;12 245;12 169;12 087;12 475;12 810;12 968;12 422;12 277
Szabolcs-Szatmár-Bereg;megye;23 700;23 721;23 520;22 991;22 603;22 194;21 976;21 518;21 245;21 139;21 546;21 747;21 308;20 509;19 762;19 761;19 524;19 921;20 271;20 636;19 992;19 655
Észak-Alföld;régió;60 800;59 559;57 850;56 946;56 394;56 142;55 475;54 465;53 982;53 595;54 664;54 829;54 066;51 968;50 067;49 701;49 182;50 499;51 654;52 668;51 018;50 617
Bács-Kiskun ;megye;18 900;18 086;17 395;17 052;17 170;17 369;17 246;16 919;16 940;16 944;17 210;17 322;17 371;16 887;16 376;16 338;16 172;16 346;16 672;17 002;16 771;16 762
Békés ;megye;13 800;13 210;12 772;12 303;11 982;12 352;11 897;11 470;11 348;11 156;11 087;10 966;10 763;10 245;10 030;9 757;9 618;9 848;9 881;10 003;9 834;9 761
Csongrád-Csanád ;megye;15 100;14 504;13 899;13 385;13 569;13 515;13 579;13 257;13 472;13 399;13 726;13 799;13 381;12 939;12 550;12 428;12 286;12 469;12 432;12 577;12 380;12 222
Dél-Alföld;régió;47 800;45 800;44 066;42 740;42 721;43 236;42 722;41 646;41 760;41 499;42 023;42 087;41 515;40 071;38 956;38 523;38 076;38 663;38 985;39 582;38 985;38 745
Alföld és Észak;nagyrégió;154 500;150 156;145 328;143 165;142 120;142 084;140 797;137 668;137 018;136 016;138 336;138 742;136 712;131 803;127 267;126 836;125 437;128 127;129 906;132 184;129 153;128 481
Összesen;ország;353 100;342 285;331 707;327 508;325 999;326 605;327 644;323 958;325 677;328 545;338 162;341 190;340 204;330 184;321 489;321 012;317 487;322 741;326 588;330 539;322 713;318 422
Ezer lakosra jutó óvodás gyermek;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;29,0;28,4;28,2;28,1;28,2;28,5;29,1;29,2;29,3;30,2;31,4;32,3;32,6;32,2;31,7;31,6;31,1;31,2;31,1;30,5;29,5;28,4
Pest ;megye, régió;36,9;35,9;34,9;34,8;34,7;34,9;35,1;35,1;35,7;36,1;37,2;38,7;39,0;38,2;37,4;37,5;37,0;37,4;37,8;38,2;37,7;37,2
Közép-Magyarország;nagyrégió;32,0;31,2;30,8;30,7;30,8;31,1;31,5;31,6;32,0;32,7;33,8;34,9;35,2;34,6;34,0;34,0;33,6;33,8;33,9;33,8;33,0;32,2
Fejér ;megye;36,0;34,3;33,2;32,3;32,5;32,3;32,6;32,4;32,1;33,2;34,1;34,9;34,8;33,9;32,9;33,2;32,9;33,7;33,7;34,8;34,1;34,1
Komárom-Esztergom ;megye;36,6;35,2;33,9;33,0;32,6;32,8;32,8;32,6;32,6;32,7;34,3;35,2;35,5;34,5;33,7;33,8;33,4;33,9;34,4;34,8;34,4;33,4
Veszprém ;megye;34,3;33,1;31,5;30,5;29,9;29,8;30,3;30,2;30,9;31,1;32,0;32,7;32,7;31,8;30,8;30,7;30,5;31,1;31,8;31,9;31,2;30,9
Közép-Dunántúl;régió;35,6;34,1;32,8;31,9;31,7;31,6;31,9;31,7;31,8;32,3;33,5;34,3;34,3;33,4;32,4;32,5;32,3;32,9;33,3;33,9;33,2;32,9
Gyõr-Moson-Sopron ;megye;34,1;32,4;30,9;30,8;30,8;30,8;31,2;31,4;32,0;32,9;33,9;34,9;34,9;33,9;33,0;33,1;32,6;32,4;32,7;32,7;31,9;31,9
Vas;megye;33,8;32,7;30,8;30,2;30,1;29,8;30,3;29,7;29,8;29,8;30,7;31,3;31,4;30,2;29,5;29,3;29,3;29,8;30,6;31,3;31,1;30,4
Zala ;megye;31,3;30,5;29,3;28,3;28,0;27,6;28,0;27,5;27,7;28,4;29,8;30,3;30,6;29,0;28,3;28,0;27,8;28,5;28,5;29,2;28,2;28,2
Nyugat-Dunántúl;régió;33,2;31,9;30,4;29,9;29,8;29,6;30,0;29,8;30,2;30,8;31,9;32,6;32,7;31,5;30,8;30,7;30,4;30,7;31,0;31,4;30,7;30,5
Baranya;megye;33,6;32,2;31,2;30,9;30,9;30,8;30,6;29,6;30,6;31,4;33,3;33,8;34,0;32,7;32,1;31,7;31,5;31,7;32,1;32,1;31,2;30,9
Somogy ;megye;35,5;34,4;33,3;33,3;33,1;33,1;31,9;31,8;31,6;31,7;32,7;32,0;31,2;30,0;29,0;29,4;29,2;30,4;31,0;31,7;31,2;30,9
Tolna ;megye;36,2;35,2;33,8;33,3;32,6;32,7;34,1;32,6;32,3;31,7;32,5;32,5;32,9;31,5;30,8;31,0;31,2;32,0;32,7;33,6;32,8;32,3
Dél-Dunántúl;régió;34,9;33,7;32,5;32,3;32,1;32,1;31,9;31,1;31,3;31,6;32,9;32,9;32,8;31,5;30,7;30,8;30,6;31,3;31,8;32,3;31,6;31,3
Dunántúl;nagyrégió;34,6;33,3;32,0;31,4;31,2;31,1;31,3;30,9;31,1;31,6;32,8;33,3;33,3;32,2;31,4;31,4;31,1;31,7;32,1;32,6;31,9;31,6
Borsod-Abaúj-Zemplén;megye;36,0;35,4;34,7;34,9;34,8;34,7;35,1;34,9;34,7;34,9;35,9;35,9;35,7;34,9;34,1;35,1;35,0;36,1;36,8;37,6;37,1;37,4
Heves ;megye;34,2;33,7;32,5;33,4;32,9;33,2;32,9;31,4;32,4;32,3;33,9;33,9;33,8;33,0;31,8;31,9;31,8;32,3;32,9;33,8;33,3;33,4
Nógrád ;megye;34,3;32,9;31,8;31,6;32,0;32,0;32,3;32,7;32,5;32,7;33,0;32,5;32,0;31,0;30,1;30,3;30,4;31,3;31,4;32,2;31,6;32,5
Észak-Magyarország;régió;35,2;34,6;33,7;34,0;33,8;33,9;34,0;33,6;33,7;33,8;34,9;34,8;34,6;33,8;32,8;33,5;33,4;34,3;34,9;35,7;35,2;35,5
Hajdú-Bihar ;megye;39,8;38,6;36,8;36,5;36,5;36,9;36,3;35,8;35,8;35,5;36,3;36,2;35,8;34,6;33,6;33,2;33,0;34,1;35,2;36,2;35,4;35,6
Jász-Nagykun-Szolnok;megye;35,9;34,7;33,7;33,5;33,5;33,8;33,9;33,7;33,7;33,8;35,0;34,3;34,5;33,3;32,2;32,3;32,4;33,6;34,6;35,3;34,2;34,1
Szabolcs-Szatmár-Bereg;megye;40,2;40,3;40,1;39,4;38,9;38,4;38,1;37,7;37,6;37,7;38,8;38,5;37,8;36,5;35,1;35,1;34,7;35,7;36,7;37,6;36,7;36,5
Észak-Alföld;régió;38,9;38,2;37,2;36,8;36,6;36,6;36,4;36,0;35,9;35,9;36,9;36,6;36,2;35,0;33,8;33,7;33,5;34,6;35,6;36,5;35,5;35,6
