23.1.2.8. Szakképzõ iskolai oktatás és nevelés megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Feladatellátási hely;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;83;87;89;84;86;85;85;81;79;77;82;84;85;88;87;71;85;76;62;59;56;58
Pest ;megye, régió;30;32;29;29;29;31;35;35;33;39;39;41;45;40;38;38;36;33;32;34;31;32
Közép-Magyarország;nagyrégió;113;119;118;113;115;116;120;116;112;116;121;125;130;128;125;109;121;109;94;93;87;90
Fejér ;megye;19;18;21;21;21;20;20;24;26;29;31;32;33;33;31;26;26;25;26;25;22;18
Komárom-Esztergom ;megye;19;19;18;17;19;21;25;25;22;24;24;24;23;20;19;18;18;16;18;17;12;12
Veszprém ;megye;23;20;21;21;21;22;22;23;24;25;25;24;24;26;24;22;24;21;22;19;19;19
Közép-Dunántúl;régió;61;57;60;59;61;63;67;72;72;78;80;80;80;79;74;66;68;62;66;61;53;49
Gyõr-Moson-Sopron ;megye;22;22;24;22;22;25;26;23;20;23;30;29;26;25;23;24;26;28;26;23;22;23
Vas;megye;15;16;16;16;16;16;16;16;15;15;17;17;17;18;16;17;20;19;17;18;16;17
Zala ;megye;17;17;17;16;16;17;17;15;17;16;18;19;15;20;17;16;16;15;15;15;15;12
Nyugat-Dunántúl;régió;54;55;57;54;54;58;59;54;52;54;65;65;58;63;56;57;62;62;58;56;53;52
Baranya;megye;17;18;18;18;19;20;21;23;22;25;25;26;29;28;25;24;22;19;18;18;17;15
Somogy ;megye;20;22;23;22;22;23;24;25;18;26;27;27;25;22;21;21;21;19;19;19;18;20
Tolna ;megye;17;15;15;16;16;16;17;16;16;18;18;17;15;21;22;22;19;20;20;19;13;14
Dél-Dunántúl;régió;54;55;56;56;57;59;62;64;56;69;70;70;69;71;68;67;62;58;57;56;48;49
Dunántúl;nagyrégió;169;167;173;169;172;180;188;190;180;201;215;215;207;213;198;190;192;182;181;173;154;150
