23.1.2.10. Technikumi, szakgimnáziumi oktatás és nevelés megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Feladatellátási hely;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;168;182;186;197;197;201;204;189;182;182;188;187;191;192;189;175;167;159;138;131;146;149
Pest ;megye, régió;53;54;55;56;57;61;62;61;57;61;60;60;57;60;58;59;57;57;52;50;47;44
Közép-Magyarország;nagyrégió;221;236;241;253;254;262;266;250;239;243;248;247;248;252;247;234;224;216;190;181;193;193
Fejér ;megye;37;40;41;36;36;35;44;46;45;49;59;54;54;63;59;43;38;35;32;32;34;31
Komárom-Esztergom ;megye;32;33;33;34;34;29;31;30;30;26;23;22;24;26;25;26;24;22;20;20;20;20
Veszprém ;megye;32;33;32;34;31;32;32;31;29;29;30;30;28;28;28;29;26;24;24;21;23;21
Közép-Dunántúl;régió;101;106;106;104;101;96;107;107;104;104;112;106;106;117;112;98;88;81;76;73;77;72
Gyõr-Moson-Sopron ;megye;46;55;50;41;41;43;41;42;38;41;47;46;46;46;44;43;37;41;36;35;34;34
Vas;megye;23;25;26;25;27;28;27;26;23;23;24;24;23;25;22;22;22;22;22;20;21;23
Zala ;megye;25;26;24;24;24;26;25;26;25;26;26;24;20;30;22;19;17;15;15;15;18;15
Nyugat-Dunántúl;régió;94;106;100;90;92;97;93;94;86;90;97;94;89;101;88;84;76;78;73;70;73;72
Baranya;megye;30;31;33;32;34;33;35;35;29;28;30;30;31;35;34;31;26;24;21;21;20;18
Somogy ;megye;33;36;37;38;38;40;39;37;26;32;31;31;29;28;27;27;24;20;20;19;23;25
Tolna ;megye;19;19;20;18;21;22;22;22;22;19;17;18;17;18;16;17;15;16;16;14;15;14
Dél-Dunántúl;régió;82;86;90;88;93;95;96;94;77;79;78;79;77;81;77;75;65;60;57;54;58;57
Dunántúl;nagyrégió;277;298;296;282;286;288;296;295;267;273;287;279;272;299;277;257;229;219;206;197;208;201
