23.1.2.11. Fõbb felsõoktatási adatok az intézmény székhely megyéje és régiója szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Intézmény;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;31;32;33;34;36;36;36;37;37;36;36;34;34;35;33;34;34;34;34;34;34
Pest ;megye, régió;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4
Közép-Magyarország;nagyrégió;34;35;36;37;39;39;39;40;40;39;39;37;37;38;37;38;38;38;38;38;38
Fejér ;megye;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;2;1;2
Komárom-Esztergom ;megye;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Veszprém ;megye;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Közép-Dunántúl;régió;9;9;9;8;8;8;8;7;7;8;8;8;8;8;8;8;7;7;7;6;7
Gyõr-Moson-Sopron ;megye;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Vas;megye;1;1;1;1;1;1;1;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Zala ;megye;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Nyugat-Dunántúl;régió;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Baranya;megye;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Somogy ;megye;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;–;–
Tolna ;megye;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Dél-Dunántúl;régió;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2
Dunántúl;nagyrégió;16;16;16;15;15;15;15;13;13;14;14;14;14;14;14;14;13;13;13;11;12
Borsod-Abaúj-Zemplén;megye;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3
Heves ;megye;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2
Nógrád ;megye;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Észak-Magyarország;régió;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;5
Hajdú-Bihar ;megye;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2
Jász-Nagykun-Szolnok;megye;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;–;–;–;–;–;–
Szabolcs-Szatmár-Bereg;megye;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Észak-Alföld;régió;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;4;4;4;4;4;4
Bács-Kiskun ;megye;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2
Békés ;megye;1;1;1;1;1;1;1;1;–;–;–;–;–;–;–;–;1;1;1;1;–
Csongrád-Csanád-Csanád;megye;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Dél-Alföld;régió;5;5;5;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;4
Alföld és Észak;nagyrégió;15;15;16;17;17;17;17;17;16;16;15;15;15;15;15;13;13;13;13;13;13
Összesen;ország;65;66;68;69;71;71;71;70;69;69;68;66;66;67;66;65;64;64;64;62;63
Oktató;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;10 389;10 406;10 617;10 992;10 364;9 649;9 867;10 273;10 259;9 952;9 839;9 583;9 847;10 101;10 650;11 016;11 750;11 160;11 572;11 993;12 689
Pest ;megye, régió;1 320;1 237;877;841;840;886;834;829;1 020;969;1 003;916;889;964;945;934;956;950;945;1 064;1 100
Közép-Magyarország;nagyrégió;11 709;11 643;11 494;11 833;11 204;10 535;10 701;11 102;11 279;10 921;10 842;10 499;10 736;11 065;11 595;11 950;12 706;12 110;12 517;13 057;13 789
Fejér ;megye;466;537;471;536;589;551;535;555;478;425;393;356;301;313;319;317;138;125;127;106;290
Komárom-Esztergom ;megye;291;259;260;267;293;217;240;173;189;166;176;104;121;122;134;129;146;146;155;154;137
Veszprém ;megye;499;467;498;488;532;516;509;492;495;509;679;665;516;485;510;501;518;524;530;463;478
Közép-Dunántúl;régió;1 256;1 263;1 229;1 291;1 414;1 284;1 284;1 220;1 162;1 100;1 248;1 125;938;920;963;947;802;795;812;723;905
Gyõr-Moson-Sopron ;megye;945;891;920;942;916;946;957;1 250;1 201;1 181;1 139;1 083;1 562;1 458;1 359;1 419;1 189;1 171;1 249;1 267;1 355
Vas;megye;253;264;256;258;265;342;278;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Zala ;megye;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Nyugat-Dunántúl;régió;1 198;1 155;1 176;1 200;1 181;1 288;1 235;1 250;1 201;1 181;1 139;1 083;1 562;1 458;1 359;1 419;1 189;1 171;1 249;1 267;1 355
Baranya;megye;2 267;2 260;2 324;2 117;2 143;2 002;2 209;1 891;1 895;1 741;1 830;1 805;1 487;1 415;1 591;1 705;1 960;1 981;2 060;2 061;2 236
Somogy ;megye;224;254;284;299;342;321;267;333;328;357;290;307;277;300;323;321;291;279;294;–;–
Tolna ;megye;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Dél-Dunántúl;régió;2 491;2 514;2 608;2 416;2 485;2 323;2 476;2 224;2 223;2 098;2 120;2 112;1 764;1 715;1 914;2 026;2 251;2 260;2 354;2 061;2 236
Dunántúl;nagyrégió;4 945;4 932;5 013;4 907;5 080;4 895;4 995;4 694;4 586;4 379;4 507;4 320;4 264;4 093;4 236;4 392;4 242;4 226;4 415;4 051;4 496
Borsod-Abaúj-Zemplén;megye;845;955;913;883;882;872;871;742;866;807;645;637;687;700;707;718;715;719;718;694;746
Heves ;megye;291;386;586;621;635;549;619;683;651;609;606;513;462;469;478;571;543;546;580;497;476
Nógrád ;megye;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Észak-Magyarország;régió;1 136;1 341;1 499;1 504;1 517;1 421;1 490;1 425;1 517;1 416;1 251;1 150;1 149;1 169;1 185;1 289;1 258;1 265;1 298;1 191;1 222
Hajdú-Bihar ;megye;1 822;1 887;1 925;1 941;1 827;1 698;1 844;1 819;1 756;1 685;1 702;1 641;1 850;1 836;1 929;1 981;1 975;2 054;2 118;2 158;2 203
Jász-Nagykun-Szolnok;megye;90;98;104;118;103;142;134;122;132;117;111;88;103;90;86;–;–;–;–;–;–
Szabolcs-Szatmár-Bereg;megye;394;464;445;541;520;415;395;465;371;344;344;311;389;353;353;360;368;318;319;319;336
Észak-Alföld;régió;2 306;2 449;2 474;2 600;2 450;2 255;2 373;2 406;2 259;2 146;2 157;2 040;2 342;2 279;2 368;2 341;2 343;2 372;2 437;2 477;2 539
Bács-Kiskun ;megye;331;324;286;330;330;346;342;332;334;339;318;296;319;284;327;426;355;344;280;236;275
Békés ;megye;269;274;306;300;274;233;230;350;–;–;–;–;–;–;–;–;191;169;198;175;–
Csongrád-Csanád-Csanád;megye;2 167;2 188;2 216;2 313;2 333;2 391;2 245;2 166;1 959;2 294;2 282;2 250;2 327;2 190;1 957;2 038;2 015;2 033;2 238;2 324;2 582
Dél-Alföld;régió;2 767;2 786;2 808;2 943;2 937;2 970;2 817;2 848;2 293;2 633;2 600;2 546;2 646;2 474;2 284;2 464;2 561;2 546;2 716;2 735;2 857
Alföld és Észak;nagyrégió;6 209;6 576;6 781;7 047;6 904;6 646;6 680;6 679;6 069;6 195;6 008;5 736;6 137;5 922;5 837;6 094;6 162;6 183;6 451;6 403;6 618
Összesen;ország;22 863;23 151;23 288;23 787;23 188;22 076;22 376;22 475;21 934;21 495;21 357;20 555;21 137;21 080;21 668;22 436;23 110;22 519;23 383;23 511;24 903
Hallgatók száma a nappali képzésben;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;83 882;87 299;96 330;99 264;100 561;102 884;105 311;106 789;108 714;110 530;112 364;111 349;111 175;111 350;109 858;107 898;108 753;108 717;110 815;112 082;114 126
Pest ;megye, régió;10 403;11 255;7 920;8 541;9 060;9 091;9 194;8 921;10 511;10 264;10 498;10 375;9 776;8 917;8 092;8 540;7 949;7 124;6 725;7 918;7 639
Közép-Magyarország;nagyrégió;94 285;98 554;104 250;107 805;109 621;111 975;114 505;115 710;119 225;120 794;122 862;121 724;120 951;120 267;117 950;116 438;116 702;115 841;117 540;120 000;121 765
Fejér ;megye;5 296;5 904;6 165;6 094;6 422;6 187;6 201;6 015;5 876;5 571;5 073;3 938;2 873;2 141;1 538;1 310;744;636;680;748;1 374
Komárom-Esztergom ;megye;2 617;2 755;2 605;2 568;2 465;2 600;2 489;1 622;1 382;1 142;1 139;1 291;938;764;558;438;448;424;385;358;369
Veszprém ;megye;6 971;7 570;7 974;8 394;8 825;8 824;8 810;8 213;7 785;7 205;6 687;6 115;5 477;5 124;4 742;4 603;4 376;4 305;4 233;3 783;3 619
