23.1.2.12. Felsõfokú alap- és mesterképzésben részt vevõ hallgatók képzési hely szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Összesen;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;120 845;134 673;146 621;147 018;144 954;145 208;143 143;140 499;140 227;139 042;139 869;136 750;136 585;136 031;133 839;131 273;130 364;129 848;130 766;131 862;135 366
Pest ;megye, régió;10 671;11 979;12 880;14 167;15 458;14 231;14 071;13 039;12 258;12 934;13 174;12 420;9 475;8 118;7 090;6 555;6 072;5 691;5 445;4 868;4 626
Közép-Magyarország;nagyrégió;131 516;146 652;159 501;161 185;160 412;159 439;157 214;153 538;152 485;151 976;153 043;149 170;146 060;144 149;140 929;137 828;136 436;135 539;136 211;136 730;139 992
Fejér ;megye;11 234;9 296;9 629;9 174;9 459;8 599;7 723;6 777;5 973;5 493;5 251;4 535;3 913;3 164;2 696;2 436;2 356;2 244;2 366;2 497;2 526
Komárom-Esztergom ;megye;3 888;3 306;3 486;3 332;3 241;3 165;2 758;2 257;1 731;1 417;1 435;1 280;949;742;626;553;576;608;620;579;566
Veszprém ;megye;6 233;6 870;7 603;8 173;8 753;8 892;8 711;8 173;7 615;7 143;6 756;6 208;5 340;4 778;4 276;3 968;3 812;3 763;3 801;3 708;3 719
Közép-Dunántúl;régió;21 355;19 472;20 718;20 679;21 453;20 656;19 192;17 207;15 319;14 053;13 442;12 023;10 202;8 684;7 598;6 957;6 744;6 615;6 787;6 784;6 811
Gyõr-Moson-Sopron ;megye;17 395;18 336;19 936;21 491;22 395;22 314;20 276;18 996;18 417;17 892;17 623;16 848;15 982;15 324;14 585;13 770;13 221;13 037;13 308;12 988;13 127
Vas;megye;6 102;5 525;6 190;6 414;6 402;5 934;5 205;4 627;4 056;3 756;3 627;3 016;2 644;2 329;2 133;2 128;1 983;2 051;2 006;2 121;2 170
Zala ;megye;2 627;2 804;3 099;3 419;3 767;3 642;3 422;2 914;2 633;2 322;2 265;2 270;2 274;2 252;2 057;1 997;1 830;1 799;1 748;1 548;1 486
Nyugat-Dunántúl;régió;26 124;26 665;29 225;31 324;32 564;31 890;28 903;26 537;25 106;23 970;23 515;22 134;20 900;19 905;18 775;17 895;17 034;16 887;17 062;16 657;16 783
Baranya;megye;20 767;21 418;23 150;24 538;25 016;25 903;25 219;23 847;22 749;21 867;20 862;18 947;17 454;16 564;16 015;15 913;16 224;16 222;16 445;16 961;17 897
Somogy ;megye;3 795;5 284;6 129;6 311;6 349;5 724;4 700;3 743;3 277;2 969;2 933;2 536;2 594;2 476;2 309;2 522;2 625;2 619;2 710;2 527;2 409
Tolna ;megye;1 215;1 327;1 472;1 626;1 846;1 703;1 469;1 240;1 132;944;906;784;630;542;519;650;620;597;556;570;567
Dél-Dunántúl;régió;25 777;28 029;30 751;32 475;33 211;33 330;31 388;28 830;27 158;25 780;24 701;22 267;20 678;19 582;18 843;19 085;19 469;19 438;19 711;20 058;20 873
Dunántúl;nagyrégió;73 256;74 166;80 694;84 478;87 228;85 876;79 483;72 574;67 583;63 803;61 658;56 424;51 780;48 171;45 216;43 937;43 247;42 940;43 560;43 499;44 467
