23.1.1.31. A képzést támogató vállalkozások [%];;;;;
Év;1999;2005;2010;2015;2020
A képzést támogató vállalkozások aránya a vállalkozás létszám-kategóriája szerint, %;;;;;
10–49 fõ;31,8;42,3;43,2;38,0;32,9
50–249 fõ;51,2;77,2;74,5;64,7;60,2
250 fõ és afelett;79,4;90,0;95,0;90,9;85,9
Összesen;36,7;49,1;48,7;43,8;37,7
A képzést támogató vállalkozások aránya a képzés-típusa szerint, %;;;;;
Hagyományos szakmai képzés;23,9;34,0;38,0;32,1;23,6
belsõ szakmai képzés;8,7;13,2;18,1;19,2;10,9
külsõ szakmai képzés;20,9;32,0;33,6;27,1;20,4
Egyéb képzési forma;30,4;40,6;36,2;37,3;34,4
Összesen;36,7;49,1;48,7;43,8;37,7
A képzést támogató vállalkozások aránya nemzetgazdasági áganként, %;;;;;
Bányászat, kõfejtés;..;..;48,9;48,0;46,6
Feldolgozóipar;..;..;49,8;45,9;39,1
Villamosenergia-, gáz-, gõzellátás, légkondicionálás;..;..;88,6;84,9;81,6
Vízellátás, szennyvíz gyûjtése, kezelése, hulladékgazdálkodás, szennyezõdésmentesítés;..;..;76,4;60,8;56,0
Építõipar;..;..;48,8;46,0;33,4
Kereskedelem, gépjármûjavítás;..;..;52,0;41,6;36,0
Szállítás, raktározás;..;..;42,4;42,9;34,0
Szálláshely-szolgáltatás, vendéglátás;..;..;24,5;24,8;22,5
Információ, kommunikáció;..;..;68,3;61,1;61,4
Pénzügyi, biztosítási tevékenység;..;..;80,7;77,1;80,0
Szakmai, tudományos, mûszaki tevékenység;..;..;65,3;51,6;52,3
Ingatlanügyletek, adminisztratív és szolgáltatást támogató tevékenység, egyéb szolgáltatás;..;..;31,9;47,7;35,3
Összesen;36,7;49,1;48,7;43,8;37,7
