24.1.3.2. A személygépkocsik ezer lakosra jutó száma országonként [ezer lakosra];;;;;;;;;;;;;;;
Ország, országcsoport;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Ausztria;504;508;511;514;522;530;537;542;546;547;546;550;555;562;..
Belgium;468;470;473;477;479;480;488;489;491;494;497;503;508;511;511
Bulgária;333;233;277;317;337;353;368;385;402;418;442;443;393;396;407
Ciprus;477;492;529;557;563;551;545;549;553;565;575;595;609;629;645
Csehország;387;401;414;424;424;429;436;448;450;459;485;502;522;540;554
Dánia;..;455;466;468;..;..;..;..;405;412;419;429;438;447;455
Észtország;366;413;391;413;409;416;433;456;478;497;514;534;550;563;598
Finnország;462;475;485;507;519;535;551;560;570;580;590;604;617;629;642
Franciaország;476;478;480;..;486;487;486;490;497;489;485;480;478;478;482
Görögország;391;412;434;453;462;469;469;470;469;471;474;479;487;..;504
Hollandia;434;442;451;457;460;464;470;472;471;472;477;481;487;494;499
Horvátország;319;331;350;360;358;355;355;339;341;349;358;374;389;409;425
Írország;395;410;422;442;433;424;428;423;428;431;436;439;444;445;454
Lengyelország;323;351;383;422;434;453;476;492;510;526;546;571;593;617;642
Lettország;333;372;413;431;426;307;299;305;317;331;345;341;356;369;381
Litvánia;442;490;494;525;540;554;570;590;615;413;431;456;483;512;536
Luxemburg;654;662;666;665;660;659;658;663;661;662;661;662;670;676;681
Magyarország;287;319;325;305;301;299;299;301;308;315;325;338;355;373;390
Málta;525;537;549;558;566;581;592;591;596;605;611;615;613;608;597
Németország;559;566;..;504;510;527;534;539;543;547;548;555;561;567;574
Olaszország;597;606;608;612;614;619;625;621;608;610;616;625;..;646;663
Portugália;..;..;..;..;..;444;447;406;415;453;457;470;492;514;530
Románia;158;152;172;197;209;214;216;224;235;247;261;279;307;332;357
Spanyolország;..;470;476;479;473;475;476;476;474;474;481;492;504;513;519
Svédország;459;461;464;462;460;460;464;465;466;470;474;477;479;476;473
Szlovákia;243;248;267;287;295;310;324;337;347;360;375;390;408;426;439
Szlovénia;479;487;504;514;517;518;519;518;518;518;523;531;541;549;556
EU27_2020;443;452;461;469;473;483;488;491;493;496;503;511;520;530;..
Egyesült Királyság;467;..;..;458;452;451;448;449;..;..;463;469;471;473;..
Észak-Macedónia;124;119;122;128;137;151;152;146;168;180;185;190;194;200;205
Norvégia;437;445;455;458;462;469;477;484;489;495;501;506;514;516;522
Oroszország;178;187;206;224;232;240;255;269;287;302;307;..;324;328;..
Svájc;518;519;521;518;515;518;523;529;531;532;535;537;539;539;537
Szerbia;..;..;..;..;..;215;232;240;247;252;258;270;280;286;299
Törökország;84;88;92;95;98;102;109;114;121;127;134;142;149;151;150
India;7;7;8;9;10;11;12;13;15;16;17;..;..;..;..
Indonézia;22;26;30;32;33;37;39;42;46;49;52;..;..;..;..
Izrael;238;243;251;260;263;272;282;287;293;302;311;322;331;338;343
Japán;438;447;451;450;452;453;456;460;466;472;477;480;484;488;491
Kína;16;20;24;29;36;46;56;65;75;86;99;..;..;..;..
Koreai Köztársaság;220;230;238;247;253;263;273;282;289;297;309;323;338;349;361
Dél-afrikai Köztársaság ;96;101;105;106;107;104;106;109;111;113;115;..;..;..;..
Egyiptom;28;29;31;32;34;38;41;41;42;43;47;..;..;..;..
Brazília;102;106;112;119;128;137;147;156;165;171;173;..;..;..;..
Egyesült Államok;458;459;458;457;447;437;407;405;408;412;415;417;409;406;396
Kanada;454;456;473;487;591;596;600;595;606;613;618;621;621;624;624
Mexikó;135;153;162;175;182;185;193;201;209;212;221;232;248;256;272
Ausztrália;534;541;550;555;554;557;558;559;562;566;569;571;572;574;572
Új-Zéland;..;..;615;618;605;601;600;600;604;608;615;623;635;645;..
